0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2_PROTEINACEOUS_EXTRACELLULAR_MATRIX	2_REGULATION_OF_CELL_PROLIFERATION	2_REGULATION_OF_TRANSFERASE_ACTIVITY	1_KEGG_APOPTOSIS	1_KEGG_CELL_CYCLE	0_HALLMARK_E2F_TARGETS	0_HALLMARK_ANGIOGENESIS	1_KEGG_P53_SIGNALING_PATHWAY	2_EXTRACELLULAR_REGION	1_KEGG_FOCAL_ADHESION	2_CELL_PROLIFERATION_GO_0008283	2_REGULATION_OF_CELL_CYCLE	2_CHROMOSOME	2_COLLAGEN	2_EXTRACELLULAR_REGION_PART	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	2_REGULATION_OF_KINASE_ACTIVITY	0_HALLMARK_MITOTIC_SPINDLE	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	2_CELL_CYCLE_CHECKPOINT_GO_0000075	2_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	1_KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	2_EXTRACELLULAR_MATRIX	1_KEGG_SMALL_CELL_LUNG_CANCER	0_HALLMARK_G2M_CHECKPOINT	2_CELL_CYCLE_GO_0007049	2_NON_MEMBRANE_BOUND_ORGANELLE	2_M_PHASE_OF_MITOTIC_CELL_CYCLE	1_KEGG_PANCREATIC_CANCER	2_CELL_CYCLE_PROCESS	2_REGULATION_OF_MOLECULAR_FUNCTION	2_MITOTIC_CELL_CYCLE	1_KEGG_MELANOMA	2_AGING	2_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1_KEGG_OOCYTE_MEIOSIS	2_CELL_CYCLE_PHASE	2_DNA_METABOLIC_PROCESS	1_KEGG_PATHWAYS_IN_CANCER	2_EXTRACELLULAR_MATRIX_PART	2_MITOSIS	2_M_PHASE
OV_11_KRAS	0	0	0	0	0	0.844	0.813	0	0.688	0	0	0	0.719	0	0	0	0	0	0	0.531	0.469	0	0.344	0	0	0.844	0.844	0	0.406	0	0.75	0.781	0	0.594	0	0	0.344	0.75	0.375	0.688	0	0.406	0.656
OV_12_YWHAZ	0.429	0	0	0	0	0.893	0.714	0	0.714	0	0	0	0.75	0	0	0	0	0	0	0.536	0.429	0	0	0	0.429	0.75	0.75	0	0.429	0	0.75	0.679	0	0.536	0	0	0.5	0.679	0	0.536	0	0.429	0.536
OV_13_MAFA	0.303	0	0.303	0	0	0.636	0.485	0	0.545	0	0	0	0.515	0	0	0.333	0	0	0	0.333	0.303	0	0	0	0.394	0.455	0.545	0	0	0	0.545	0.333	0	0	0	0	0.242	0.394	0	0.545	0.303	0	0.303
OV_14_PRKACA	0	0	0.37	0	0	0.815	0.778	0	0.815	0	0	0	0.741	0	0	0	0	0	0	0.593	0.407	0	0.593	0	0	0.778	0.741	0	0.444	0	0.778	0.741	0	0.667	0	0	0.519	0.741	0	0.481	0	0.444	0.63
OV_15_NOTCH3	0	0	0	0	0	0.741	0.741	0	0.815	0	0	0	0.667	0	0	0	0	0	0	0.519	0.519	0	0.481	0	0	0.667	0.704	0	0.37	0	0.667	0.667	0	0.556	0.37	0	0.444	0.667	0	0.481	0	0.37	0.593
OV_16_USF2	0	0	0.48	0	0	0.92	0.88	0	0.92	0	0	0	0.84	0	0	0	0	0	0	0.76	0	0	0	0	0	0.88	0.88	0	0.44	0	0.8	0.8	0	0.76	0	0.44	0.48	0.8	0.48	0.8	0	0.44	0.8
OV_17_ANGPT1	0.478	0	0	0.435	0	0.696	0.435	0	0.609	0	0	0	0.609	0	0	0.391	0	0.435	0	0.435	0.391	0.435	0	0	0.391	0.478	0.565	0	0	0	0.522	0.391	0	0	0	0	0	0.435	0	0.652	0.435	0	0
OV_18_TNFRSF11B	0.233	0	0.267	0.233	0	0.6	0.433	0	0.533	0	0	0	0.467	0	0.233	0	0	0.233	0	0.333	0	0.233	0	0	0.367	0.433	0.5	0	0	0	0.467	0.333	0	0	0	0	0.267	0.333	0	0.533	0	0	0
OV_19_CEBPA	0	0	0.625	0	0	0.833	0.875	0	0.833	0	0	0	0.833	0	0	0	0	0	0	0.667	0	0	0.417	0	0	0.875	0.875	0	0	0.417	0.875	0.708	0	0.708	0	0	0.417	0.708	0.417	0.833	0	0.417	0.792
OV_20_LAMA5	0	0.474	0	0	0	0.789	0.789	0	0.789	0.474	0.526	0.526	0.632	0	0	0.474	0	0	0	0.526	0	0	0	0	0.579	0.789	0.737	0	0	0	0.632	0.632	0	0.526	0	0	0	0.579	0	0.632	0	0	0.526
