GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
SNTB1	0.008	0.004	0.000	0.004	-	-	3.34891490599075	0.008	0.004	0.000	0.004
ERCC2	0.008	0.008	0.000	0.000	CC	PC	3.29013255376017	0.008	0.008	0.000	0.000
LAMB1	0.020	0.016	0.000	0.004	-	-	3.28207600577886	0.020	0.016	0.000	0.004
RHOB	0.004	0.004	0.000	0.000	-	-	3.23497394374328	0.004	0.004	0.000	0.000
LYN	0.004	0.000	0.000	0.004	-	PC	3.23497394374328	0.008	0.000	0.000	0.008
SP1	0.004	0.004	0.000	0.000	-	-	3.16201927463587	0.004	0.004	0.000	0.000
NRG1	0.008	0.004	0.004	0.000	-	-	2.9837234499456	0.016	0.008	0.008	0.000
SMAD4	0.008	0.008	0.000	0.000	-	PC	2.96699906147906	0.012	0.012	0.000	0.000
COL27A1	0.008	0.008	0.000	0.000	-	-	2.94992964107399	0.012	0.012	0.000	0.000
PCDHA10	0.020	0.016	0.004	0.000	-	-	2.88917982883212	0.020	0.016	0.004	0.000
KCNH5	0.004	0.004	0.000	0.000	-	-	2.86605485567594	0.016	0.016	0.000	0.000
CTNNA2	0.012	0.012	0.000	0.000	-	-	2.86097144532534	0.012	0.012	0.000	0.000
ITGA3	0.008	0.008	0.000	0.000	-	-	2.82193133173222	0.008	0.008	0.000	0.000
LRP1	0.028	0.028	0.000	0.000	-	-	2.80896957065604	0.028	0.028	0.000	0.000
MCM4	0.008	0.004	0.000	0.004	-	-	2.78370575788311	0.016	0.008	0.000	0.008
CEBPD	0.004	0.000	0.000	0.004	-	-	2.76058503958538	0.008	0.000	0.000	0.008
COL6A3	0.020	0.020	0.000	0.000	-	-	2.68985944923003	0.020	0.020	0.000	0.000
ROCK1	0.016	0.016	0.000	0.000	-	-	2.39706404458042	0.020	0.020	0.000	0.000
ACTA2	0.016	0.000	0.016	0.000	-	-	2.37897786048658	0.016	0.000	0.016	0.000
PTPRA	0.008	0.008	0.000	0.000	-	-	2.37120536064006	0.012	0.012	0.000	0.000
ROBO1	0.012	0.012	0.000	0.000	-	-	2.35568601102024	0.020	0.020	0.000	0.000
TGFBR1	0.008	0.008	0.000	0.000	-	-	2.34986129214485	0.008	0.008	0.000	0.000
VWF	0.004	0.004	0.000	0.000	-	-	2.29671187755554	0.016	0.016	0.000	0.000
KCNQ2	0.004	0.004	0.000	0.000	-	-	2.29671187755554	0.004	0.004	0.000	0.000
HOXA10	0.012	0.004	0.000	0.008	-	-	2.28819900554538	0.012	0.004	0.000	0.008
PCDHB7	0.008	0.008	0.000	0.000	-	-	2.25383869058232	0.012	0.012	0.000	0.000
CREBBP	0.016	0.016	0.000	0.000	CC	-	2.24265625732263	0.016	0.016	0.000	0.000
GRIK2	0.008	0.004	0.004	0.000	-	-	2.2236277737616	0.008	0.004	0.004	0.000
HDAC2	0.008	0.004	0.004	0.000	-	-	2.21049358670824	0.012	0.008	0.004	0.000
COL18A1	0.016	0.016	0.000	0.000	-	PC	2.18685031321511	0.016	0.016	0.000	0.000
FYN	0.004	0.000	0.004	0.000	-	-	2.181162312978	0.004	0.000	0.004	0.000
ST8SIA4	0.020	0.004	0.016	0.000	-	-	2.14580198195945	0.024	0.008	0.016	0.000
COL12A1	0.016	0.016	0.000	0.000	-	-	2.13972010592122	0.016	0.016	0.000	0.000
VAV1	0.008	0.008	0.000	0.000	-	-	2.05676725398412	0.008	0.008	0.000	0.000
FN1	0.008	0.008	0.000	0.000	-	PC	1.97658199699653	0.008	0.008	0.000	0.000
RXRB	0.008	0.008	0.000	0.000	-	-	1.97371006939112	0.008	0.008	0.000	0.000
GRIA1	0.008	0.008	0.000	0.000	-	-	1.95634319827185	0.016	0.016	0.000	0.000
SCNN1B	0.008	0.008	0.000	0.000	-	-	1.952980274737	0.008	0.008	0.000	0.000
RBBP7	0.012	0.000	0.000	0.012	-	-	1.94694281100128	0.016	0.000	0.000	0.016
RARB	0.008	0.008	0.000	0.000	-	-	1.89270756699923	0.008	0.008	0.000	0.000
NOTCH2	0.016	0.016	0.000	0.000	CC	-	1.86738593054119	0.016	0.016	0.000	0.000
SOS1	0.004	0.004	0.000	0.000	-	PC	1.85230679326253	0.004	0.004	0.000	0.000
NOTCH1	0.004	0.004	0.000	0.000	CC	PC	1.85230679326253	0.008	0.008	0.000	0.000
GNAI1	0.004	0.004	0.000	0.000	-	PC	1.85230679326253	0.004	0.004	0.000	0.000
TRPC1	0.004	0.000	0.000	0.004	-	-	1.78217189198776	0.004	0.000	0.000	0.004
NCK1	0.004	0.000	0.000	0.004	-	-	1.78217189198776	0.004	0.000	0.000	0.004
GATA2	0.004	0.000	0.000	0.004	CC	-	1.78217189198776	0.004	0.000	0.000	0.004
CLDN18	0.004	0.000	0.000	0.004	-	-	1.78217189198776	0.004	0.000	0.000	0.004
ANK1	0.016	0.016	0.000	0.000	-	-	1.76905090092872	0.016	0.016	0.000	0.000
HTT	0.012	0.012	0.000	0.000	-	-	1.75420425946055	0.012	0.012	0.000	0.000
DST	0.008	0.008	0.000	0.000	-	-	1.72140970346278	0.020	0.020	0.000	0.000
RAC2	0.004	0.004	0.000	0.000	-	-	1.71103575859607	0.004	0.004	0.000	0.000
KCNJ12	0.004	0.004	0.000	0.000	-	-	1.71103575859607	0.004	0.004	0.000	0.000
CDH2	0.004	0.004	0.000	0.000	-	-	1.71103575859607	0.004	0.004	0.000	0.000
MMP16	0.008	0.008	0.000	0.000	-	-	1.68562438276811	0.020	0.008	0.000	0.012
SDC4	0.004	0.000	0.000	0.004	CC	-	1.6820537804941	0.004	0.000	0.000	0.004
MYH10	0.012	0.012	0.000	0.000	-	-	1.63908460985003	0.012	0.012	0.000	0.000
COL3A1	0.008	0.008	0.000	0.000	-	-	1.62856855779285	0.008	0.008	0.000	0.000
RELA	0.008	0.008	0.000	0.000	-	-	1.6272433971154	0.008	0.008	0.000	0.000
ITGA6	0.008	0.008	0.000	0.000	-	PC	1.60313692342764	0.008	0.008	0.000	0.000
NCOR1	0.020	0.020	0.000	0.000	-	PC	1.5958933481898	0.024	0.024	0.000	0.000
NDUFS3	0.004	0.004	0.000	0.000	-	-	1.58778972105208	0.004	0.004	0.000	0.000
CD27	0.004	0.004	0.000	0.000	-	-	1.58778972105208	0.004	0.004	0.000	0.000
CACNA1H	0.004	0.004	0.000	0.000	-	-	1.58778972105208	0.008	0.008	0.000	0.000
PKD1	0.008	0.008	0.000	0.000	-	-	1.56700481889174	0.024	0.024	0.000	0.000
PIK3CG	0.016	0.012	0.000	0.004	-	PC	1.56540099558935	0.016	0.012	0.000	0.004
KRT15	0.008	0.008	0.000	0.000	-	-	1.55443765942114	0.008	0.008	0.000	0.000
ITGA2B	0.008	0.008	0.000	0.000	-	-	1.52496231112952	0.012	0.012	0.000	0.000
GNAS	0.004	0.004	0.000	0.000	CC	PC	1.51998272351421	0.008	0.008	0.000	0.000
HOXA5	0.008	0.000	0.000	0.008	-	-	1.51692753923731	0.008	0.000	0.000	0.008
TRPC4	0.016	0.012	0.004	0.000	-	-	1.5082357040484	0.016	0.012	0.004	0.000
PCDHA5	0.008	0.008	0.000	0.000	-	-	1.49149957270504	0.012	0.012	0.000	0.000
MYLK	0.008	0.008	0.000	0.000	-	-	1.47861723094132	0.012	0.012	0.000	0.000
EGFR	0.008	0.008	0.000	0.000	CC	PC	1.47604741806125	0.008	0.008	0.000	0.000
ITGA9	0.008	0.008	0.000	0.000	-	-	1.47339142962736	0.008	0.008	0.000	0.000
SYNJ1	0.004	0.004	0.000	0.000	-	-	1.45940573390183	0.008	0.008	0.000	0.000
CTBP1	0.004	0.000	0.000	0.004	-	-	1.45940573390183	0.004	0.000	0.000	0.004
FLT1	0.008	0.008	0.000	0.000	-	-	1.45925053165123	0.008	0.008	0.000	0.000
GRIN2C	0.004	0.004	0.000	0.000	-	-	1.44664844567879	0.004	0.004	0.000	0.000
TRAF2	0.004	0.004	0.000	0.000	-	-	1.43363470949237	0.008	0.008	0.000	0.000
MMP24	0.004	0.004	0.000	0.000	-	-	1.43363470949237	0.004	0.004	0.000	0.000
PRKACA	0.004	0.004	0.000	0.000	-	-	1.43316284352927	0.004	0.004	0.000	0.000
NEDD9	0.004	0.004	0.000	0.000	-	-	1.43316284352927	0.004	0.004	0.000	0.000
L1CAM	0.008	0.008	0.000	0.000	-	-	1.43307641058516	0.012	0.012	0.000	0.000
ZAP70	0.004	0.004	0.000	0.000	-	-	1.41175026269525	0.008	0.008	0.000	0.000
PRKX	0.016	0.008	0.000	0.008	-	-	1.39752910025178	0.020	0.008	0.004	0.008
ITGA10	0.004	0.004	0.000	0.000	-	-	1.36705736240141	0.004	0.004	0.000	0.000
CDH3	0.016	0.012	0.004	0.000	-	-	1.35794302198279	0.016	0.012	0.004	0.000
ZFHX3	0.024	0.024	0.000	0.000	-	PC	1.35760590111238	0.028	0.028	0.000	0.000
AXIN2	0.004	0.004	0.000	0.000	-	PC	1.3574383698459	0.008	0.008	0.000	0.000
NEB	0.012	0.012	0.000	0.000	-	PC	1.35654332739249	0.020	0.020	0.000	0.000
VAMP3	0.004	0.000	0.004	0.000	-	-	1.34326039833492	0.004	0.000	0.004	0.000
GRIN2A	0.024	0.024	0.000	0.000	-	-	1.34142249957863	0.024	0.024	0.000	0.000
PCDHA1	0.012	0.012	0.000	0.000	-	-	1.33437487505714	0.012	0.012	0.000	0.000
RPS6KA1	0.004	0.004	0.000	0.000	-	-	1.31387884779465	0.004	0.004	0.000	0.000
PI4KB	0.004	0.004	0.000	0.000	-	-	1.31387884779465	0.008	0.008	0.000	0.000
MYBPC2	0.012	0.012	0.000	0.000	-	-	1.31163866730129	0.016	0.016	0.000	0.000
ITGA11	0.008	0.008	0.000	0.000	-	-	1.31118463321883	0.008	0.008	0.000	0.000
STK25	0.004	0.004	0.000	0.000	-	-	1.30194860821801	0.004	0.004	0.000	0.000
STAT6	0.004	0.004	0.000	0.000	-	-	1.30194860821801	0.008	0.008	0.000	0.000
SEC24D	0.004	0.004	0.000	0.000	-	-	1.30194860821801	0.004	0.004	0.000	0.000
KCNA3	0.012	0.012	0.000	0.000	-	-	1.29916837820082	0.016	0.016	0.000	0.000
CGN	0.004	0.004	0.000	0.000	-	-	1.27975607377862	0.008	0.008	0.000	0.000
TLE1	0.004	0.004	0.000	0.000	-	-	1.27782917039098	0.004	0.004	0.000	0.000
GRIN2B	0.012	0.012	0.000	0.000	-	-	1.24066883191928	0.012	0.012	0.000	0.000
MMP9	0.004	0.004	0.000	0.000	-	-	1.24038036313535	0.008	0.004	0.000	0.004
ESR1	0.004	0.004	0.000	0.000	-	PC	1.24038036313535	0.004	0.004	0.000	0.000
ADAMTS7	0.004	0.004	0.000	0.000	-	-	1.23377154077794	0.012	0.012	0.000	0.000
FAT2	0.020	0.020	0.000	0.000	-	-	1.22667294261194	0.020	0.020	0.000	0.000
RECQL4	0.004	0.004	0.000	0.000	CC	-	1.21618991597548	0.012	0.008	0.000	0.004
GRB2	0.004	0.004	0.000	0.000	-	-	1.21618991597548	0.004	0.004	0.000	0.000
GRIN1	0.008	0.004	0.000	0.004	-	-	1.21406042607539	0.008	0.004	0.000	0.004
RAI14	0.008	0.008	0.000	0.000	-	-	1.20969820980527	0.008	0.008	0.000	0.000
COL4A3	0.004	0.004	0.000	0.000	-	-	1.19614770146179	0.004	0.004	0.000	0.000
SUPT16H	0.004	0.004	0.000	0.000	-	-	1.18151749089975	0.004	0.004	0.000	0.000
MEFV	0.004	0.004	0.000	0.000	-	-	1.18151749089975	0.012	0.012	0.000	0.000
FLNC	0.004	0.004	0.000	0.000	-	-	1.18151749089975	0.004	0.004	0.000	0.000
PCDH15	0.020	0.020	0.000	0.000	-	-	1.14955057611888	0.024	0.024	0.000	0.000
TOP2B	0.008	0.008	0.000	0.000	-	-	1.14774866387228	0.008	0.008	0.000	0.000
SHANK2	0.008	0.008	0.000	0.000	-	-	1.14222642851058	0.016	0.016	0.000	0.000
TGFB1I1	0.004	0.004	0.000	0.000	-	-	1.13676176818202	0.004	0.004	0.000	0.000
MAPK1	0.004	0.004	0.000	0.000	-	-	1.13676176818202	0.004	0.004	0.000	0.000
APBA1	0.004	0.004	0.000	0.000	-	-	1.13676176818202	0.004	0.004	0.000	0.000
VEGFA	0.004	0.004	0.000	0.000	-	-	1.1300130041936	0.008	0.008	0.000	0.000
PKD2	0.004	0.004	0.000	0.000	-	-	1.1300130041936	0.004	0.004	0.000	0.000
ITGB8	0.008	0.004	0.000	0.004	-	-	1.11458306921895	0.008	0.004	0.000	0.004
NBN	0.004	0.004	0.000	0.000	-	-	1.10511615360218	0.004	0.004	0.000	0.000
YWHAZ	0.004	0.000	0.000	0.004	-	-	1.10010364671741	0.012	0.000	0.000	0.012
SDC2	0.004	0.000	0.000	0.004	-	-	1.10010364671741	0.008	0.000	0.000	0.008
GLI3	0.004	0.004	0.000	0.000	-	-	1.08444962168393	0.004	0.004	0.000	0.000
GTF2H2	0.016	0.000	0.000	0.016	-	-	1.06999558994244	0.032	0.000	0.000	0.032
ACTG1	0.004	0.004	0.000	0.000	-	-	1.05867297765447	0.004	0.004	0.000	0.000
VHL	0.004	0.004	0.000	0.000	CC	PC	1.04626126066675	0.004	0.004	0.000	0.000
IRS1	0.004	0.004	0.000	0.000	-	-	1.04626126066675	0.004	0.004	0.000	0.000
CNTN2	0.004	0.004	0.000	0.000	-	-	1.04626126066675	0.004	0.004	0.000	0.000
RYR3	0.012	0.012	0.000	0.000	-	-	1.01260459979482	0.020	0.020	0.000	0.000
FASN	0.004	0.004	0.000	0.000	-	-	0.99783017364804	0.004	0.004	0.000	0.000
COL9A2	0.008	0.008	0.000	0.000	-	-	0.983287999581239	0.008	0.008	0.000	0.000
PLXNB1	0.004	0.004	0.000	0.000	-	-	0.982440629422167	0.004	0.004	0.000	0.000
RIPK1	0.004	0.004	0.000	0.000	-	-	0.974003573650905	0.004	0.004	0.000	0.000
CDH8	0.012	0.012	0.000	0.000	-	-	0.972224606087285	0.016	0.016	0.000	0.000
PCDHA13	0.016	0.016	0.000	0.000	-	-	0.959037539496471	0.016	0.016	0.000	0.000
LRP2	0.008	0.008	0.000	0.000	-	-	0.958490719118217	0.008	0.008	0.000	0.000
MIB2	0.004	0.004	0.000	0.000	-	-	0.954968116140107	0.004	0.004	0.000	0.000
LAMC1	0.004	0.004	0.000	0.000	-	-	0.954968116140107	0.008	0.008	0.000	0.000
CDH5	0.012	0.012	0.000	0.000	-	-	0.937028036654592	0.016	0.016	0.000	0.000
CASP1	0.008	0.008	0.000	0.000	-	-	0.904701179464962	0.008	0.008	0.000	0.000
PCSK6	0.004	0.004	0.000	0.000	-	-	0.884594984712698	0.004	0.004	0.000	0.000
ITGB4	0.004	0.004	0.000	0.000	-	-	0.884594984712698	0.008	0.008	0.000	0.000
ACTC1	0.008	0.008	0.000	0.000	-	-	0.880588691122833	0.008	0.008	0.000	0.000
LILRB1	0.004	0.004	0.000	0.000	-	-	0.869735336683472	0.012	0.012	0.000	0.000
LAMA1	0.012	0.012	0.000	0.000	-	-	0.864727357746759	0.012	0.012	0.000	0.000
YWHAH	0.004	0.004	0.000	0.000	-	-	0.84369706519752	0.004	0.004	0.000	0.000
PLCD4	0.004	0.004	0.000	0.000	-	-	0.828156656218063	0.008	0.008	0.000	0.000
KCNH4	0.004	0.004	0.000	0.000	-	-	0.828156656218063	0.008	0.008	0.000	0.000
GNAO1	0.004	0.004	0.000	0.000	-	-	0.828156656218063	0.004	0.004	0.000	0.000
PCDHA12	0.016	0.016	0.000	0.000	-	-	0.819742542779091	0.016	0.016	0.000	0.000
APOB	0.008	0.008	0.000	0.000	-	-	0.816684537694152	0.032	0.032	0.000	0.000
ANK2	0.008	0.008	0.000	0.000	-	-	0.793116475167946	0.016	0.016	0.000	0.000
MYLK2	0.004	0.004	0.000	0.000	-	-	0.789186414442345	0.004	0.004	0.000	0.000
DCHS2	0.016	0.016	0.000	0.000	-	-	0.786529884218813	0.016	0.016	0.000	0.000
TG	0.008	0.008	0.000	0.000	-	-	0.785608772699104	0.016	0.012	0.000	0.004
APC	0.004	0.004	0.000	0.000	CC	PC	0.783415639587984	0.008	0.008	0.000	0.000
SSRP1	0.008	0.008	0.000	0.000	-	-	0.782130215404517	0.008	0.008	0.000	0.000
CDH4	0.012	0.012	0.000	0.000	-	-	0.781428001133488	0.016	0.016	0.000	0.000
TNKS	0.012	0.012	0.000	0.000	-	-	0.778137303241371	0.020	0.016	0.004	0.000
ELK1	0.004	0.000	0.000	0.004	-	-	0.771271466308064	0.004	0.000	0.000	0.004
CASK	0.004	0.000	0.000	0.004	-	-	0.771271466308064	0.004	0.000	0.000	0.004
SNX17	0.004	0.004	0.000	0.000	-	-	0.76971868386427	0.008	0.008	0.000	0.000
CSNK2A1	0.004	0.004	0.000	0.000	-	-	0.76971868386427	0.004	0.004	0.000	0.000
ITGA2	0.004	0.004	0.000	0.000	-	-	0.766441587322671	0.004	0.004	0.000	0.000
ACAN	0.012	0.012	0.000	0.000	-	-	0.754095537409002	0.020	0.020	0.000	0.000
MYH6	0.012	0.012	0.000	0.000	-	-	0.717618400429173	0.016	0.016	0.000	0.000
SPARCL1	0.004	0.004	0.000	0.000	-	-	0.708238754539627	0.004	0.004	0.000	0.000
FLT4	0.008	0.008	0.000	0.000	-	-	0.700814818912853	0.008	0.008	0.000	0.000
TCF12	0.004	0.004	0.000	0.000	CC	PC	0.700784803009016	0.004	0.004	0.000	0.000
COL6A6	0.004	0.004	0.000	0.000	-	-	0.700784803009016	0.008	0.008	0.000	0.000
OCLN	0.008	0.000	0.000	0.008	-	-	0.685966241555939	0.032	0.000	0.000	0.032
HLA-A	0.016	0.016	0.000	0.000	-	PC	0.677825797574763	0.016	0.016	0.000	0.000
PCDHA8	0.012	0.004	0.008	0.000	-	-	0.66613703907496	0.012	0.004	0.008	0.000
PLXNC1	0.004	0.004	0.000	0.000	-	-	0.652201634959714	0.004	0.004	0.000	0.000
CHD1	0.012	0.004	0.008	0.000	-	-	0.641320892899784	0.040	0.016	0.024	0.000
RYR1	0.024	0.024	0.000	0.000	-	-	0.626719397866547	0.032	0.032	0.000	0.000
PCDH19	0.008	0.004	0.000	0.004	-	-	0.620844777095725	0.016	0.012	0.000	0.004
RAC1	0.004	0.004	0.000	0.000	-	PC	0.609719876402083	0.004	0.004	0.000	0.000
ITGAD	0.004	0.004	0.000	0.000	-	-	0.609719876402083	0.004	0.004	0.000	0.000
PCDHGB3	0.008	0.008	0.000	0.000	-	-	0.602304427107312	0.008	0.008	0.000	0.000
SPOP	0.008	0.008	0.000	0.000	-	PC	0.586248806204647	0.099	0.099	0.000	0.000
PRKCB	0.008	0.008	0.000	0.000	-	-	0.578383107911503	0.008	0.008	0.000	0.000
BAI1	0.012	0.012	0.000	0.000	-	-	0.57430332473062	0.020	0.016	0.000	0.004
PCDH11Y	0.016	0.004	0.012	0.000	-	-	0.558543314502024	0.024	0.004	0.020	0.000
GRM1	0.008	0.008	0.000	0.000	-	-	0.555868144582217	0.008	0.008	0.000	0.000
CHD3	0.020	0.020	0.000	0.000	-	-	0.546566326344781	0.020	0.020	0.000	0.000
ACTR3	0.004	0.004	0.000	0.000	-	-	0.545517406212857	0.004	0.004	0.000	0.000
CACNA1E	0.028	0.028	0.000	0.000	-	-	0.54494870256075	0.028	0.028	0.000	0.000
SSB	0.004	0.004	0.000	0.000	-	-	0.543392610688829	0.008	0.008	0.000	0.000
AP2A2	0.008	0.008	0.000	0.000	-	-	0.541004396896333	0.008	0.008	0.000	0.000
CDH9	0.008	0.008	0.000	0.000	-	-	0.538327632030023	0.008	0.008	0.000	0.000
HDAC8	0.012	0.008	0.000	0.004	-	-	0.533934666453466	0.012	0.008	0.000	0.004
COL4A4	0.004	0.004	0.000	0.000	-	-	0.531963539166202	0.004	0.004	0.000	0.000
ZNF638	0.004	0.004	0.000	0.000	-	-	0.53098310391698	0.008	0.008	0.000	0.000
FIGF	0.008	0.000	0.000	0.008	-	-	0.518850936613862	0.012	0.000	0.000	0.012
JAK1	0.012	0.008	0.004	0.000	CC	-	0.517022593794112	0.012	0.008	0.004	0.000
MYL1	0.004	0.004	0.000	0.000	-	-	0.510263939177238	0.004	0.004	0.000	0.000
BACE1	0.004	0.004	0.000	0.000	-	-	0.510263939177238	0.004	0.004	0.000	0.000
THBS1	0.008	0.008	0.000	0.000	-	-	0.508115347278037	0.008	0.008	0.000	0.000
LAMC2	0.004	0.004	0.000	0.000	-	-	0.507305879809754	0.004	0.004	0.000	0.000
TNXB	0.024	0.024	0.000	0.000	-	-	0.502191266696527	0.028	0.028	0.000	0.000
PICALM	0.004	0.004	0.000	0.000	CC	-	0.49959838567169	0.004	0.004	0.000	0.000
PLG	0.004	0.004	0.000	0.000	-	-	0.486953550931825	0.004	0.004	0.000	0.000
PCDH17	0.008	0.008	0.000	0.000	-	-	0.478497427567525	0.016	0.016	0.000	0.000
COL15A1	0.004	0.004	0.000	0.000	-	-	0.477977338194063	0.004	0.004	0.000	0.000
FZD1	0.004	0.004	0.000	0.000	-	-	0.46912848091871	0.008	0.008	0.000	0.000
PRKY	0.004	0.000	0.004	0.000	-	-	0.467432590153587	0.016	0.000	0.016	0.000
FGF13	0.004	0.000	0.000	0.004	-	-	0.467432590153587	0.004	0.000	0.000	0.004
PLXNB2	0.004	0.000	0.004	0.000	-	-	0.467348313149575	0.008	0.004	0.004	0.000
LAMB4	0.004	0.004	0.000	0.000	-	-	0.462929465531163	0.008	0.004	0.000	0.004
PIK3CB	0.004	0.004	0.000	0.000	-	PC	0.452690512057861	0.008	0.004	0.000	0.004
PIK3C2A	0.004	0.004	0.000	0.000	-	-	0.452690512057861	0.004	0.004	0.000	0.000
GPSM1	0.004	0.004	0.000	0.000	-	-	0.452690512057861	0.004	0.004	0.000	0.000
GLIS1	0.004	0.004	0.000	0.000	-	-	0.452690512057861	0.004	0.004	0.000	0.000
NOTCH4	0.008	0.008	0.000	0.000	-	-	0.447835392958374	0.008	0.008	0.000	0.000
