GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
FGF19	0.021	0.000	0.000	0.021	-	-	21.8563854188148	0.029	0.000	0.000	0.029
COL6A3	0.037	0.034	0.003	0.000	-	-	21.6647643776542	0.042	0.040	0.003	0.000
ERBB2	0.026	0.024	0.000	0.005	CC	PC	20.945644638725	0.037	0.032	0.000	0.013
FADD	0.018	0.000	0.000	0.018	-	-	20.831325544107	0.029	0.003	0.000	0.026
COL11A1	0.034	0.034	0.000	0.000	-	-	20.566832938561	0.042	0.042	0.000	0.000
CTTN	0.021	0.005	0.000	0.016	-	PC	20.3000287622862	0.037	0.008	0.000	0.032
PDGFRA	0.024	0.024	0.000	0.000	CC	PC	20.2910485096004	0.024	0.024	0.000	0.000
CDH1	0.021	0.021	0.000	0.000	CC	PC	20.1457897378788	0.021	0.021	0.000	0.000
NOTCH2	0.032	0.032	0.000	0.000	CC	-	19.8267647099628	0.032	0.032	0.000	0.000
NCOR2	0.029	0.026	0.003	0.000	-	PC	18.5135668127148	0.037	0.034	0.003	0.000
VCAN	0.029	0.029	0.000	0.000	-	-	18.1956665408585	0.034	0.034	0.000	0.000
GLI3	0.026	0.026	0.000	0.000	-	-	18.0572360838832	0.026	0.026	0.000	0.000
COL7A1	0.026	0.026	0.000	0.000	-	-	17.9819055277311	0.045	0.045	0.000	0.000
ROBO1	0.026	0.024	0.003	0.000	-	-	17.77085957877	0.032	0.029	0.003	0.000
EGFR	0.026	0.013	0.000	0.013	CC	PC	17.6340080876237	0.026	0.013	0.000	0.013
PIK3C2A	0.016	0.016	0.000	0.000	-	-	17.3907921485533	0.021	0.021	0.000	0.000
HSPG2	0.026	0.024	0.000	0.003	-	-	17.1963408523885	0.034	0.032	0.000	0.003
NEB	0.021	0.021	0.000	0.000	-	PC	16.4918618596577	0.053	0.053	0.000	0.000
USF1	0.018	0.000	0.000	0.018	-	-	16.0461101238734	0.037	0.000	0.000	0.037
RXRG	0.026	0.013	0.000	0.016	-	-	15.284059937501	0.029	0.016	0.000	0.016
LAMA4	0.026	0.021	0.005	0.000	-	-	15.1979875843766	0.032	0.026	0.005	0.000
CDKN1A	0.029	0.026	0.000	0.003	-	PC	15.1307051194052	0.055	0.053	0.000	0.003
PPARG	0.021	0.005	0.000	0.016	CC	-	15.0845050622745	0.034	0.011	0.000	0.024
RHOB	0.016	0.016	0.000	0.000	-	-	15.0634614788009	0.021	0.021	0.000	0.000
LRP1	0.040	0.040	0.000	0.000	-	-	15.0266824087253	0.050	0.050	0.000	0.000
NCOA2	0.013	0.005	0.000	0.008	CC	-	14.7776482786109	0.021	0.011	0.000	0.011
GLI1	0.018	0.018	0.000	0.000	-	-	14.6165105283946	0.018	0.018	0.000	0.000
AKAP6	0.013	0.013	0.000	0.000	-	-	14.4238011250452	0.021	0.021	0.000	0.000
UTRN	0.021	0.018	0.000	0.003	-	-	14.4014624366396	0.024	0.021	0.000	0.003
LAMA2	0.026	0.026	0.000	0.000	-	-	14.0029799911518	0.042	0.042	0.000	0.000
ROCK1	0.024	0.021	0.000	0.003	-	-	13.9370551006857	0.026	0.024	0.000	0.003
MYC	0.021	0.008	0.000	0.013	CC	-	13.4630971558496	0.021	0.008	0.000	0.013
FN1	0.018	0.016	0.003	0.000	-	PC	13.2754692310005	0.024	0.021	0.003	0.000
POU2F1	0.016	0.008	0.000	0.008	-	-	13.2338101435566	0.018	0.008	0.000	0.011
LRP2	0.026	0.026	0.000	0.000	-	-	13.0930115814843	0.040	0.037	0.000	0.003
PIAS3	0.018	0.005	0.000	0.013	-	-	12.8996198517741	0.018	0.005	0.000	0.013
NCSTN	0.024	0.008	0.000	0.021	-	-	12.8429999152254	0.037	0.013	0.000	0.029
LRP5	0.011	0.005	0.000	0.005	-	-	12.6675029205818	0.016	0.011	0.000	0.005
MED12	0.032	0.032	0.000	0.003	CC	PC	12.5987713954112	0.042	0.042	0.000	0.003
LAMA1	0.024	0.024	0.000	0.000	-	-	12.4646105530659	0.024	0.024	0.000	0.000
GLI2	0.018	0.016	0.003	0.000	-	-	12.3520178265344	0.018	0.016	0.003	0.000
FRS2	0.021	0.008	0.000	0.013	-	-	12.1933733757493	0.026	0.011	0.000	0.016
HRAS	0.021	0.021	0.000	0.000	CC	PC	12.0871627135027	0.024	0.024	0.000	0.000
FOXA1	0.029	0.026	0.000	0.003	-	PC	11.9832892151633	0.053	0.050	0.000	0.003
TGM1	0.011	0.011	0.000	0.000	-	-	11.9468240833975	0.011	0.011	0.000	0.000
ANK2	0.024	0.024	0.000	0.000	-	-	11.9401653276761	0.042	0.042	0.000	0.000
NOTCH1	0.016	0.016	0.000	0.000	CC	PC	11.4314284865747	0.021	0.021	0.000	0.000
PCDH11Y	0.069	0.003	0.063	0.003	-	-	11.2616122837698	0.069	0.003	0.063	0.003
GRIN1	0.018	0.016	0.000	0.003	-	-	11.1246947389905	0.018	0.016	0.000	0.003
NF1	0.016	0.016	0.000	0.000	CC	PC	11.0417479552717	0.032	0.032	0.000	0.000
GATA4	0.008	0.000	0.008	0.000	-	-	10.9366844323079	0.016	0.000	0.016	0.000
ITPR2	0.021	0.018	0.000	0.003	-	-	10.7707485263171	0.032	0.029	0.000	0.003
NRG1	0.016	0.011	0.005	0.000	-	-	10.4179410664557	0.037	0.018	0.016	0.003
COL5A1	0.021	0.021	0.000	0.000	-	-	10.4063907106437	0.026	0.026	0.000	0.000
CDH8	0.021	0.018	0.000	0.003	-	-	10.3785245551015	0.024	0.021	0.000	0.003
CACNA1F	0.008	0.005	0.000	0.003	-	-	10.2652394214062	0.016	0.008	0.000	0.008
SRCAP	0.029	0.029	0.000	0.000	-	-	10.1976745885443	0.042	0.042	0.000	0.000
ATRX	0.013	0.013	0.000	0.000	CC	PC	10.1482521026642	0.024	0.024	0.000	0.000
ANK1	0.018	0.016	0.000	0.003	-	-	10.1184788687126	0.037	0.029	0.000	0.008
LAMB1	0.024	0.021	0.000	0.003	-	-	10.0987436445697	0.024	0.021	0.000	0.003
POLR2K	0.011	0.000	0.000	0.011	-	-	10.0039816722473	0.032	0.000	0.000	0.032
FGFR2	0.011	0.011	0.000	0.000	CC	PC	9.98987688103964	0.013	0.013	0.000	0.000
HTT	0.018	0.016	0.003	0.000	-	-	9.95568415016589	0.021	0.018	0.003	0.000
GRIN2C	0.016	0.013	0.000	0.003	-	-	9.93725113767116	0.018	0.016	0.000	0.003
ACTG1	0.013	0.013	0.000	0.000	-	-	9.87481171586875	0.013	0.013	0.000	0.000
SCN4A	0.011	0.011	0.000	0.000	-	-	9.87272358887995	0.018	0.018	0.000	0.000
SDC2	0.011	0.000	0.000	0.011	-	-	9.55413429393275	0.011	0.000	0.000	0.011
STAT1	0.011	0.008	0.003	0.000	-	-	9.54720948839806	0.013	0.011	0.003	0.000
MYLK3	0.008	0.008	0.000	0.000	-	-	9.42478444608687	0.018	0.013	0.000	0.005
MYST4	0.011	0.008	0.000	0.003	CC	-	9.34780666097685	0.011	0.008	0.000	0.003
LRP1B	0.032	0.032	0.000	0.000	-	-	9.30997489147968	0.058	0.058	0.000	0.000
DLG2	0.008	0.008	0.000	0.000	-	-	9.22407850322594	0.008	0.008	0.000	0.000
RHOA	0.013	0.013	0.000	0.000	-	PC	9.20341123073913	0.013	0.013	0.000	0.000
ITGA5	0.011	0.008	0.000	0.003	-	-	9.1625656464451	0.011	0.008	0.000	0.003
NR1I3	0.013	0.003	0.000	0.011	-	-	9.11379492596534	0.034	0.005	0.000	0.029
RASGRF2	0.011	0.008	0.003	0.000	-	-	9.07289685346876	0.011	0.008	0.003	0.000
NR0B1	0.005	0.000	0.000	0.005	-	-	9.06182708110739	0.013	0.000	0.003	0.011
PLCG1	0.008	0.008	0.000	0.000	-	PC	9.05986586671778	0.011	0.011	0.000	0.000
ACTA1	0.008	0.005	0.003	0.000	-	-	9.04471318248142	0.011	0.008	0.003	0.000
ACTN4	0.013	0.011	0.000	0.003	-	-	8.86055627496755	0.013	0.011	0.000	0.003
GAB1	0.008	0.005	0.000	0.003	-	-	8.78288380084777	0.011	0.005	0.000	0.005
CRKL	0.008	0.000	0.000	0.008	-	-	8.65542318309447	0.008	0.000	0.000	0.008
PAK3	0.013	0.011	0.003	0.000	-	-	8.65342118914875	0.013	0.011	0.003	0.000
AR	0.005	0.003	0.000	0.003	-	PC	8.62946113044889	0.005	0.003	0.000	0.003
SCN5A	0.013	0.011	0.000	0.003	-	-	8.56365445421233	0.026	0.024	0.000	0.003
PBX1	0.013	0.005	0.000	0.011	CC	-	8.46115722182484	0.021	0.011	0.000	0.013
VWF	0.008	0.008	0.000	0.000	-	-	8.43937330179707	0.026	0.026	0.000	0.000
CCNE1	0.008	0.000	0.000	0.008	CC	-	8.41249864536195	0.024	0.000	0.000	0.024
ABL1	0.016	0.016	0.000	0.000	CC	PC	8.39115645627933	0.018	0.018	0.000	0.000
PRKDC	0.024	0.018	0.000	0.005	-	-	8.35693816857263	0.045	0.037	0.003	0.005
TNR	0.013	0.008	0.000	0.005	-	-	8.27888587889994	0.024	0.018	0.000	0.005
CSNK2A1	0.011	0.011	0.000	0.000	-	-	8.1887767117266	0.013	0.013	0.000	0.000
BCL9	0.018	0.011	0.000	0.008	CC	-	8.18474131894953	0.034	0.021	0.000	0.013
ITGB4	0.011	0.011	0.000	0.000	-	-	8.15000659670413	0.018	0.018	0.000	0.000
PRKX	0.016	0.008	0.000	0.008	-	-	8.0812124997655	0.021	0.008	0.003	0.011
ARNT	0.008	0.003	0.000	0.005	CC	-	8.01782489527759	0.024	0.008	0.000	0.016
RAF1	0.008	0.000	0.000	0.008	CC	-	7.97468246717036	0.016	0.005	0.000	0.011
NCOA1	0.008	0.008	0.000	0.000	CC	-	7.95290073246248	0.018	0.018	0.000	0.000
ATM	0.045	0.045	0.000	0.000	CC	PC	7.90000256152108	0.071	0.069	0.003	0.000
CUL1	0.008	0.008	0.000	0.000	-	PC	7.87332172312244	0.018	0.018	0.000	0.000
LZTS1	0.008	0.003	0.005	0.000	-	-	7.82275551757488	0.026	0.008	0.018	0.000
NFATC1	0.005	0.005	0.000	0.000	-	-	7.79870435490032	0.013	0.013	0.000	0.000
CACNA1S	0.011	0.008	0.000	0.003	-	-	7.76102103268927	0.018	0.013	0.000	0.005
SMARCB1	0.013	0.011	0.000	0.003	CC	-	7.7472375861066	0.016	0.011	0.000	0.005
SNTB1	0.011	0.005	0.000	0.005	-	-	7.73193807402783	0.011	0.005	0.000	0.005
TRPC4	0.018	0.016	0.003	0.000	-	-	7.72212762575069	0.026	0.021	0.005	0.000
ITGA3	0.011	0.011	0.000	0.000	-	-	7.71715796983774	0.013	0.013	0.000	0.000
APBA2	0.005	0.005	0.000	0.000	-	-	7.69062023355778	0.008	0.008	0.000	0.000
CTNNA2	0.016	0.013	0.003	0.000	-	-	7.67156672827827	0.016	0.013	0.003	0.000
RASA1	0.011	0.011	0.000	0.000	-	PC	7.65011143008741	0.011	0.011	0.000	0.000
PLCG2	0.011	0.005	0.005	0.000	-	-	7.64177898977287	0.016	0.011	0.005	0.000
FGF13	0.011	0.008	0.000	0.003	-	-	7.60595144050318	0.011	0.008	0.000	0.003
HSP90AA1	0.011	0.011	0.000	0.000	-	-	7.53371081542418	0.024	0.021	0.003	0.000
FGFR4	0.008	0.008	0.000	0.000	-	-	7.52765532822107	0.008	0.008	0.000	0.000
PPP2CB	0.005	0.000	0.005	0.000	-	-	7.48941698057923	0.016	0.000	0.016	0.000
PIK3CG	0.018	0.016	0.000	0.003	-	PC	7.48940483288055	0.018	0.016	0.000	0.003
PLCB1	0.013	0.013	0.000	0.000	-	-	7.48588080802851	0.016	0.016	0.000	0.000
GDNF	0.011	0.005	0.000	0.005	-	-	7.38955811491211	0.013	0.005	0.000	0.008
ACTB	0.008	0.008	0.000	0.000	-	-	7.38905262780058	0.013	0.013	0.000	0.000
NRXN1	0.018	0.018	0.000	0.000	-	-	7.27813433863853	0.026	0.026	0.000	0.000
SRC	0.011	0.011	0.000	0.000	-	-	7.25540940342062	0.011	0.011	0.000	0.000
PCDH1	0.011	0.011	0.000	0.000	-	-	7.21090285360997	0.013	0.013	0.000	0.000
ITGAL	0.013	0.013	0.000	0.000	-	-	7.17423472341712	0.016	0.016	0.000	0.000
MDM2	0.008	0.000	0.000	0.008	CC	-	7.1362761766879	0.018	0.003	0.000	0.016
ACTA2	0.018	0.008	0.011	0.000	-	-	7.11137134853414	0.021	0.008	0.013	0.000
TLE1	0.008	0.008	0.000	0.000	-	-	7.11023775651202	0.013	0.013	0.000	0.000
ARHGEF6	0.008	0.005	0.000	0.003	-	PC	7.01155859926406	0.013	0.008	0.000	0.005
HOXA10	0.013	0.008	0.000	0.005	-	-	6.87691181182831	0.016	0.011	0.000	0.005
NFKBIB	0.008	0.005	0.000	0.003	-	-	6.79350216608822	0.013	0.008	0.000	0.005
SMAD9	0.011	0.008	0.003	0.000	-	-	6.76912220257627	0.013	0.008	0.005	0.000
COL6A6	0.013	0.013	0.000	0.000	-	-	6.73277569147899	0.032	0.032	0.000	0.000
FLNC	0.011	0.011	0.000	0.000	-	-	6.73251470301845	0.013	0.013	0.000	0.000
KCNJ12	0.011	0.008	0.000	0.003	-	-	6.71990986396471	0.011	0.008	0.000	0.003
JAK1	0.016	0.011	0.003	0.003	CC	-	6.71101787365267	0.016	0.011	0.003	0.003
RPS6KA5	0.008	0.008	0.000	0.000	-	-	6.69988034293715	0.018	0.016	0.003	0.000
DLG4	0.005	0.005	0.000	0.000	-	-	6.69666599539958	0.008	0.008	0.000	0.000
MYH3	0.011	0.011	0.000	0.000	-	-	6.63834895745813	0.021	0.018	0.003	0.000
IGF1R	0.008	0.008	0.000	0.000	-	-	6.62587186776975	0.013	0.013	0.000	0.000
NOTCH3	0.011	0.011	0.000	0.000	-	-	6.62080130472375	0.016	0.016	0.000	0.000
KL	0.011	0.011	0.003	0.000	-	-	6.56265463568446	0.016	0.016	0.003	0.000
COL4A4	0.011	0.008	0.003	0.000	-	-	6.50561158058473	0.018	0.013	0.005	0.000
COL11A2	0.013	0.013	0.000	0.000	-	-	6.4663252674817	0.018	0.016	0.003	0.000
LAMB2	0.008	0.008	0.000	0.000	-	-	6.44704551246644	0.013	0.013	0.000	0.000
MAP2K4	0.008	0.000	0.005	0.003	CC	PC	6.44132940686534	0.013	0.005	0.005	0.003
DRP2	0.008	0.000	0.000	0.008	-	-	6.36830556179329	0.016	0.005	0.000	0.011
GNAI2	0.005	0.003	0.003	0.000	-	-	6.34963658463898	0.005	0.003	0.003	0.000
PI4KA	0.011	0.003	0.000	0.008	-	-	6.33559485903221	0.011	0.003	0.000	0.008
GRIN2B	0.008	0.008	0.000	0.000	-	-	6.1827248306909	0.016	0.016	0.000	0.000
LYN	0.008	0.003	0.003	0.003	-	PC	6.17182533225377	0.013	0.005	0.003	0.005
SMARCC2	0.008	0.008	0.000	0.000	-	-	6.10858407257619	0.024	0.024	0.000	0.000
MAPK8	0.008	0.005	0.000	0.003	-	-	6.10826471132415	0.011	0.008	0.000	0.003
GLIS3	0.008	0.005	0.000	0.003	-	-	6.10693514227408	0.008	0.005	0.000	0.003
GAB2	0.018	0.016	0.000	0.003	-	-	6.09064130727745	0.021	0.016	0.000	0.005
GRB7	0.008	0.005	0.000	0.003	-	-	6.0805103935671	0.021	0.005	0.000	0.016
ITGAV	0.008	0.008	0.000	0.000	-	-	6.07877030052705	0.013	0.013	0.000	0.000
PIK3CB	0.011	0.008	0.000	0.003	-	PC	6.04395911517089	0.011	0.008	0.000	0.003
ITGB2	0.008	0.008	0.000	0.000	-	-	6.03415414955222	0.011	0.011	0.000	0.000
ITGB8	0.011	0.003	0.000	0.008	-	-	6.00613856666245	0.013	0.005	0.000	0.008
FYN	0.005	0.003	0.003	0.000	-	-	5.99695279152081	0.008	0.003	0.005	0.000
PLCD4	0.008	0.005	0.003	0.000	-	-	5.96530788129845	0.013	0.011	0.003	0.000
CDH23	0.024	0.021	0.000	0.003	-	-	5.94456418220217	0.034	0.032	0.000	0.003
TGFBR2	0.005	0.003	0.000	0.003	-	PC	5.92627504978555	0.011	0.008	0.000	0.003
LAMB4	0.008	0.008	0.000	0.000	-	-	5.90656762539432	0.013	0.011	0.000	0.003
MED13	0.011	0.011	0.000	0.000	-	PC	5.87496850833944	0.029	0.029	0.000	0.000
COL2A1	0.008	0.005	0.000	0.003	-	-	5.86971954087586	0.016	0.008	0.000	0.008
FGF17	0.005	0.003	0.003	0.000	-	-	5.84997828214071	0.021	0.003	0.018	0.000
LAMA5	0.013	0.013	0.000	0.000	-	-	5.84441555583033	0.024	0.024	0.000	0.000
CACNA1E	0.029	0.029	0.000	0.000	-	-	5.84125807144718	0.032	0.032	0.000	0.000
SMAD4	0.011	0.011	0.000	0.000	-	PC	5.8071771486239	0.013	0.013	0.000	0.000
EZH2	0.008	0.008	0.000	0.000	CC	PC	5.7901173107408	0.008	0.008	0.000	0.000
RBBP7	0.011	0.000	0.000	0.011	-	-	5.76940705390319	0.018	0.003	0.000	0.016
SP1	0.008	0.008	0.000	0.000	-	-	5.7652710644203	0.008	0.008	0.000	0.000
PLCB4	0.013	0.013	0.000	0.000	-	-	5.75516081562803	0.013	0.013	0.000	0.000
TJP2	0.013	0.013	0.000	0.000	-	PC	5.72950377332544	0.016	0.016	0.000	0.000
PCDHA10	0.013	0.013	0.000	0.000	-	-	5.72584958410837	0.042	0.024	0.018	0.000
RYR3	0.018	0.018	0.000	0.000	-	-	5.70896019415222	0.042	0.042	0.000	0.000
KDR	0.016	0.016	0.000	0.000	CC	-	5.68777248305864	0.029	0.029	0.000	0.000
RIPK2	0.008	0.000	0.000	0.008	-	-	5.67252616989791	0.018	0.008	0.000	0.011
BLK	0.011	0.003	0.008	0.000	-	-	5.65931222732994	0.024	0.003	0.021	0.000
PTK2	0.005	0.003	0.000	0.003	-	-	5.64418650985853	0.016	0.013	0.000	0.003
RHOBTB2	0.005	0.000	0.005	0.000	-	-	5.62766380813086	0.021	0.003	0.021	0.000
GLIS1	0.011	0.011	0.000	0.000	-	-	5.60420431481193	0.013	0.013	0.000	0.000
F11R	0.011	0.000	0.000	0.011	-	-	5.59223559170234	0.037	0.003	0.000	0.034
COL4A2	0.008	0.008	0.000	0.000	-	-	5.58874689519809	0.018	0.018	0.000	0.000
ACTN2	0.005	0.005	0.000	0.000	-	-	5.57669550307626	0.008	0.008	0.000	0.000
HDAC2	0.008	0.005	0.003	0.000	-	-	5.56932574443077	0.013	0.008	0.005	0.000
TIAM1	0.005	0.005	0.000	0.000	-	-	5.55865313335818	0.018	0.018	0.000	0.000
SMAD3	0.011	0.011	0.000	0.000	-	-	5.53844963541334	0.013	0.013	0.000	0.000
CDK4	0.005	0.003	0.000	0.003	CC	-	5.45882163435734	0.005	0.003	0.000	0.003
LAMC3	0.008	0.008	0.000	0.000	-	-	5.36180487183277	0.013	0.013	0.000	0.000
LATS1	0.008	0.005	0.003	0.000	-	-	5.34252631259316	0.011	0.008	0.003	0.000
TLN1	0.008	0.005	0.000	0.003	-	-	5.30795375658475	0.011	0.008	0.000	0.003
PGR	0.008	0.003	0.000	0.005	-	-	5.29561390891612	0.016	0.005	0.003	0.008
PAX6	0.005	0.000	0.000	0.005	-	-	5.27582272361965	0.005	0.000	0.000	0.005
FAT2	0.032	0.032	0.000	0.000	-	-	5.21326405036774	0.040	0.040	0.000	0.000
ARVCF	0.011	0.008	0.000	0.003	-	-	5.18775629314166	0.026	0.021	0.000	0.008
ITGA10	0.008	0.003	0.000	0.005	-	-	5.14874078882778	0.018	0.005	0.000	0.013
FGF9	0.005	0.005	0.000	0.000	-	-	5.10037476061705	0.005	0.005	0.000	0.000
CNOT7	0.003	0.000	0.003	0.000	-	-	5.00640085395504	0.018	0.003	0.016	0.000
IL2RG	0.008	0.005	0.000	0.003	-	-	4.99736943006053	0.008	0.005	0.000	0.003
TRPM2	0.011	0.011	0.000	0.000	-	-	4.9937860185892	0.021	0.021	0.000	0.000
ZYX	0.005	0.003	0.000	0.003	-	-	4.97119281951732	0.005	0.003	0.000	0.003
KCNQ5	0.013	0.013	0.000	0.000	-	-	4.95321276824481	0.018	0.018	0.000	0.000
FANCG	0.005	0.003	0.000	0.003	CC	-	4.93953511162997	0.008	0.005	0.000	0.003
PRKG1	0.005	0.005	0.000	0.000	-	-	4.93713762969985	0.005	0.005	0.000	0.000
MED1	0.011	0.011	0.000	0.000	-	-	4.92957870437747	0.026	0.024	0.000	0.003
MLLT4	0.005	0.005	0.000	0.000	CC	PC	4.90454630651615	0.008	0.008	0.000	0.000
PLCE1	0.011	0.011	0.000	0.000	-	-	4.90449467069244	0.011	0.011	0.000	0.000
TCAP	0.008	0.005	0.000	0.003	-	-	4.8889970214543	0.021	0.008	0.000	0.013
NOTCH4	0.011	0.011	0.000	0.000	-	-	4.86537084325414	0.016	0.016	0.000	0.000
EGF	0.008	0.008	0.000	0.000	-	-	4.84972902125439	0.011	0.011	0.000	0.000
MAPK10	0.005	0.003	0.000	0.003	-	-	4.8152817015497	0.005	0.003	0.000	0.003
E2F1	0.005	0.000	0.000	0.005	-	-	4.76129256604845	0.008	0.003	0.000	0.005
FIGF	0.011	0.003	0.000	0.008	-	-	4.64685978241675	0.013	0.003	0.000	0.011
PLCB3	0.005	0.005	0.000	0.000	-	-	4.63852692922843	0.013	0.013	0.000	0.000
PRKCZ	0.003	0.003	0.000	0.000	-	-	4.61998653554224	0.011	0.011	0.000	0.000
COL14A1	0.003	0.000	0.000	0.003	-	-	4.61998653554224	0.024	0.016	0.000	0.008
ASH2L	0.003	0.000	0.000	0.003	-	-	4.61998653554224	0.021	0.003	0.008	0.011
E2F3	0.011	0.005	0.000	0.008	-	-	4.60492889759908	0.053	0.008	0.000	0.047
KCNQ2	0.005	0.005	0.000	0.000	-	-	4.57851059558506	0.008	0.008	0.000	0.000
FAT1	0.032	0.032	0.000	0.000	-	-	4.55370085126948	0.042	0.042	0.000	0.000
PIK3C2B	0.011	0.011	0.000	0.000	-	-	4.53262545499618	0.018	0.018	0.000	0.000
PSEN1	0.005	0.005	0.000	0.000	-	PC	4.50061597790345	0.013	0.011	0.000	0.003
PAK7	0.003	0.003	0.000	0.000	-	-	4.46516060511182	0.005	0.005	0.000	0.000
SPTA1	0.026	0.024	0.000	0.003	-	-	4.45935624386499	0.061	0.055	0.000	0.005
TRPC1	0.005	0.003	0.000	0.003	-	-	4.43174580539143	0.008	0.005	0.000	0.003
ADAM9	0.008	0.005	0.000	0.003	-	-	4.41287434327785	0.037	0.011	0.005	0.021
HNRNPA2B1	0.008	0.003	0.000	0.005	CC	-	4.41215823101353	0.011	0.005	0.000	0.005
PIK3R2	0.005	0.005	0.000	0.000	-	-	4.39933714218212	0.008	0.008	0.000	0.000
ETS1	0.005	0.005	0.000	0.000	-	-	4.36644331231783	0.005	0.005	0.000	0.000
PTPRB	0.013	0.008	0.000	0.005	-	-	4.34445089757198	0.026	0.016	0.000	0.011
MYL1	0.005	0.003	0.003	0.000	-	-	4.32126475867249	0.005	0.003	0.003	0.000
MITF	0.005	0.000	0.003	0.003	CC	-	4.31306764561166	0.008	0.003	0.003	0.003
MET	0.005	0.005	0.000	0.000	CC	-	4.31188489708904	0.013	0.013	0.000	0.000
ITGA2B	0.013	0.013	0.000	0.000	-	-	4.27571408383228	0.024	0.024	0.000	0.000
MAP2K7	0.003	0.000	0.000	0.003	-	-	4.26354146182705	0.013	0.011	0.000	0.003
CNTN2	0.005	0.003	0.000	0.003	-	-	4.25356836254204	0.005	0.003	0.000	0.003
SHC1	0.011	0.005	0.000	0.005	-	-	4.24827981442021	0.011	0.005	0.000	0.005
COL1A2	0.008	0.005	0.000	0.003	-	-	4.21046502024942	0.008	0.005	0.000	0.003
ACTC1	0.011	0.011	0.000	0.000	-	-	4.20740005713392	0.011	0.011	0.000	0.000
SEMA6C	0.005	0.005	0.000	0.000	-	-	4.20072483149295	0.024	0.013	0.000	0.011
RHOD	0.003	0.000	0.000	0.003	-	-	4.18776391965129	0.005	0.003	0.000	0.003
BARD1	0.005	0.003	0.003	0.000	-	PC	4.18340582869951	0.011	0.008	0.003	0.000
MED14	0.005	0.000	0.000	0.005	-	-	4.15000760932359	0.011	0.003	0.000	0.008
SLC25A6	0.005	0.000	0.000	0.005	-	-	4.14714446051984	0.021	0.003	0.000	0.018
STK4	0.005	0.000	0.000	0.005	-	-	4.14138654864491	0.021	0.013	0.000	0.008
AGRN	0.005	0.005	0.000	0.000	-	-	4.14041266221326	0.011	0.011	0.000	0.000
SUV39H1	0.003	0.000	0.000	0.003	-	-	4.13189869720354	0.008	0.000	0.000	0.008
