GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
EGR1	0.035	0.035	0.000	0.000	-	-	27.7590049463029	0.035	0.035	0.000	0.000
ATXN1	0.076	0.076	0.000	0.000	-	-	27.6643116287139	0.197	0.197	0.000	0.000
BRAF	0.071	0.071	0.000	0.000	CC	PC	27.25943825591	0.141	0.141	0.000	0.000
RYR1	0.061	0.061	0.000	0.000	-	-	26.9905721064618	0.136	0.136	0.000	0.000
PIK3R1	0.045	0.045	0.000	0.000	CC	PC	26.6849703839429	0.051	0.051	0.000	0.000
NCOR1	0.061	0.061	0.000	0.000	-	PC	26.2074554282707	0.081	0.081	0.000	0.000
THBS2	0.045	0.045	0.000	0.000	-	-	25.9497941513308	0.051	0.051	0.000	0.000
PLXNB3	0.051	0.045	0.005	0.000	-	-	25.883395094831	0.101	0.096	0.005	0.000
NID1	0.051	0.051	0.000	0.000	-	-	25.6718997701842	0.061	0.061	0.000	0.000
RET	0.045	0.045	0.000	0.000	CC	-	25.0144970078832	0.061	0.061	0.000	0.000
EP400	0.040	0.040	0.000	0.000	-	-	24.6408449732337	0.096	0.096	0.000	0.000
MLLT4	0.040	0.040	0.000	0.000	CC	PC	24.5927302096707	0.045	0.045	0.000	0.000
ROBO3	0.056	0.056	0.000	0.000	-	-	23.7325717842542	0.071	0.071	0.000	0.000
SMAD3	0.040	0.040	0.000	0.000	-	-	23.6040694689541	0.040	0.040	0.000	0.000
EP300	0.040	0.040	0.000	0.000	CC	PC	22.7051959793339	0.040	0.040	0.000	0.000
SCN5A	0.081	0.081	0.000	0.000	-	-	21.9449046506167	0.096	0.096	0.000	0.000
NOTCH1	0.035	0.035	0.000	0.000	CC	PC	21.8046204548426	0.040	0.040	0.000	0.000
ANK2	0.045	0.045	0.000	0.000	-	-	21.2202280982995	0.081	0.081	0.000	0.000
AKT1	0.035	0.035	0.000	0.000	CC	PC	21.1320312287667	0.035	0.035	0.000	0.000
FBN1	0.081	0.081	0.000	0.000	-	-	20.766466771675	0.096	0.096	0.000	0.000
IPO4	0.030	0.030	0.000	0.000	-	-	19.8059404841726	0.035	0.035	0.000	0.000
PTEN	0.040	0.040	0.000	0.000	CC	PC	19.6988805489537	0.081	0.081	0.000	0.000
IFI16	0.030	0.030	0.000	0.000	-	-	19.4683403545573	0.051	0.051	0.000	0.000
NRAS	0.035	0.035	0.000	0.000	CC	PC	19.4300247406502	0.035	0.035	0.000	0.000
NEFM	0.035	0.035	0.000	0.000	-	-	19.3333749372647	0.051	0.051	0.000	0.000
MAD1L1	0.040	0.040	0.000	0.000	-	-	19.1225793042938	0.056	0.056	0.000	0.000
IRS1	0.030	0.030	0.000	0.000	-	-	19.0192564114885	0.051	0.051	0.000	0.000
MAP1B	0.035	0.035	0.000	0.000	-	-	18.7795662059413	0.086	0.086	0.000	0.000
PIK3CG	0.035	0.035	0.000	0.000	-	PC	18.5302221029855	0.056	0.056	0.000	0.000
COL6A6	0.035	0.035	0.000	0.000	-	-	18.2750881986282	0.111	0.111	0.000	0.000
PLG	0.035	0.035	0.000	0.000	-	-	18.207002830862	0.045	0.045	0.000	0.000
BRCA2	0.030	0.030	0.000	0.000	CC	PC	18.1842015681081	0.081	0.081	0.000	0.000
NEB	0.096	0.096	0.000	0.000	-	PC	18.0511487927078	0.126	0.126	0.000	0.000
COL11A1	0.045	0.045	0.000	0.000	-	-	17.6570048960446	0.101	0.101	0.000	0.000
BRCA1	0.035	0.035	0.000	0.000	CC	PC	17.645728242397	0.040	0.040	0.000	0.000
PIK3CD	0.030	0.030	0.000	0.000	-	-	17.4035335454931	0.030	0.030	0.000	0.000
UTRN	0.051	0.051	0.000	0.000	-	-	17.389850370646	0.066	0.066	0.000	0.000
FANCM	0.025	0.025	0.000	0.000	-	-	17.3363333650245	0.071	0.071	0.000	0.000
KCNQ3	0.040	0.040	0.000	0.000	-	-	17.2763528574889	0.056	0.051	0.000	0.005
NOS1	0.025	0.025	0.000	0.000	-	-	17.1701121046441	0.056	0.056	0.000	0.000
GLI1	0.040	0.040	0.000	0.000	-	-	17.0755960799484	0.051	0.051	0.000	0.000
MED12	0.030	0.030	0.000	0.000	CC	PC	16.8256964854197	0.056	0.056	0.000	0.000
MLL	0.040	0.040	0.000	0.000	CC	PC	16.6298936621195	0.101	0.101	0.000	0.000
GRIN1	0.030	0.030	0.000	0.000	-	-	16.519487335502	0.035	0.035	0.000	0.000
FGFR3	0.025	0.025	0.000	0.000	CC	PC	16.4841849831797	0.056	0.056	0.000	0.000
ATR	0.045	0.045	0.000	0.000	-	PC	16.4749207839183	0.045	0.045	0.000	0.000
CRMP1	0.020	0.020	0.000	0.000	-	-	16.4494894970214	0.045	0.045	0.000	0.000
MAP2K4	0.045	0.045	0.000	0.000	CC	PC	16.3370515174718	0.045	0.045	0.000	0.000
CLASP1	0.030	0.030	0.000	0.000	-	-	16.2107034050402	0.040	0.040	0.000	0.000
PLCG2	0.030	0.030	0.000	0.000	-	-	16.2042431246347	0.051	0.051	0.000	0.000
E2F4	0.025	0.025	0.000	0.000	-	-	16.1562197376699	0.025	0.025	0.000	0.000
HLA-A	0.025	0.025	0.000	0.000	-	PC	16.053666495512	0.076	0.076	0.000	0.000
POLR2A	0.035	0.035	0.000	0.000	-	-	16.0329331715416	0.035	0.035	0.000	0.000
TNC	0.040	0.040	0.000	0.000	-	-	16.0281893637574	0.091	0.091	0.000	0.000
NOTCH3	0.061	0.061	0.000	0.000	-	-	16.0188279345204	0.066	0.066	0.000	0.000
PTK2	0.030	0.030	0.000	0.000	-	-	15.968658923325	0.040	0.040	0.000	0.000
ITGAL	0.020	0.020	0.000	0.000	-	-	15.9639452086519	0.051	0.051	0.000	0.000
PIP5K1C	0.030	0.030	0.000	0.000	-	-	15.9516697039719	0.045	0.045	0.000	0.000
ESR1	0.025	0.025	0.000	0.000	-	PC	15.8862905004022	0.035	0.035	0.000	0.000
RANBP2	0.030	0.030	0.000	0.000	-	PC	15.8045139871988	0.056	0.056	0.000	0.000
LIG4	0.025	0.025	0.000	0.000	-	-	15.5954443399697	0.045	0.045	0.000	0.000
TGFBR2	0.030	0.030	0.000	0.000	-	PC	15.3751384932265	0.051	0.051	0.000	0.000
RYR3	0.056	0.056	0.000	0.000	-	-	15.2925105313677	0.167	0.167	0.000	0.000
ERBB2	0.030	0.025	0.000	0.005	CC	PC	15.2573651292194	0.040	0.035	0.000	0.005
PSMB8	0.020	0.020	0.000	0.000	-	-	15.220150389989	0.030	0.030	0.000	0.000
CLSPN	0.025	0.025	0.000	0.000	-	-	15.0810473314604	0.045	0.045	0.000	0.000
GLIS3	0.035	0.035	0.000	0.000	-	-	15.0215281075129	0.066	0.066	0.000	0.000
ROBO2	0.040	0.040	0.000	0.000	-	-	15.0209771746099	0.106	0.106	0.000	0.000
GNAS	0.040	0.040	0.000	0.000	CC	PC	14.482169340821	0.086	0.086	0.000	0.000
TRPC6	0.035	0.035	0.000	0.000	-	-	14.3426836929911	0.056	0.056	0.000	0.000
PAX6	0.030	0.030	0.000	0.000	-	-	14.2567376322442	0.040	0.040	0.000	0.000
ITGAM	0.025	0.025	0.000	0.000	-	-	14.1980008900609	0.045	0.045	0.000	0.000
RARA	0.025	0.020	0.000	0.005	CC	-	14.0790583098911	0.030	0.025	0.000	0.005
COL5A2	0.020	0.020	0.000	0.000	-	-	14.0685486625319	0.051	0.051	0.000	0.000
COL18A1	0.051	0.051	0.000	0.000	-	PC	13.7338662418389	0.131	0.131	0.000	0.000
PDGFRA	0.030	0.030	0.000	0.000	CC	PC	13.727817394288	0.040	0.040	0.000	0.000
REV3L	0.020	0.020	0.000	0.000	-	-	13.6165248400455	0.086	0.086	0.000	0.000
IQGAP1	0.025	0.025	0.000	0.000	-	-	13.5902257687112	0.025	0.025	0.000	0.000
NUP214	0.025	0.025	0.000	0.000	CC	PC	13.4986014343726	0.035	0.035	0.000	0.000
TGFBR1	0.030	0.030	0.000	0.000	-	-	13.4481873777372	0.040	0.040	0.000	0.000
COL6A1	0.025	0.025	0.000	0.000	-	-	13.4232641175211	0.045	0.045	0.000	0.000
STAT5A	0.035	0.035	0.000	0.000	-	-	13.3552019887382	0.040	0.040	0.000	0.000
KLF1	0.035	0.035	0.000	0.000	-	-	13.3251446836311	0.051	0.051	0.000	0.000
SMAD1	0.020	0.020	0.000	0.000	-	-	13.318754480218	0.025	0.025	0.000	0.000
PLCG1	0.025	0.025	0.000	0.000	-	PC	13.1374172852552	0.045	0.045	0.000	0.000
CNTN2	0.030	0.030	0.000	0.000	-	-	13.1264318018998	0.045	0.045	0.000	0.000
PPARGC1A	0.025	0.025	0.000	0.000	-	-	13.0372675754803	0.045	0.045	0.000	0.000
PAPPA2	0.020	0.020	0.000	0.000	-	-	12.852288337014	0.086	0.086	0.000	0.000
SMAD9	0.025	0.025	0.000	0.000	-	-	12.8435993607054	0.025	0.025	0.000	0.000
CFTR	0.015	0.015	0.000	0.000	-	-	12.6070427459943	0.025	0.025	0.000	0.000
COL1A2	0.025	0.025	0.000	0.000	-	-	12.6005101032012	0.040	0.040	0.000	0.000
NUP153	0.015	0.015	0.000	0.000	-	-	12.585620757746	0.025	0.025	0.000	0.000
RELA	0.020	0.020	0.000	0.000	-	-	12.5624803501569	0.020	0.020	0.000	0.000
GRIN2A	0.015	0.015	0.000	0.000	-	-	12.5205062567747	0.066	0.066	0.000	0.000
ERCC2	0.051	0.051	0.000	0.000	CC	PC	12.4246622604786	0.066	0.066	0.000	0.000
MAPK8	0.025	0.025	0.000	0.000	-	-	12.3649735373397	0.025	0.025	0.000	0.000
PRKX	0.020	0.020	0.000	0.000	-	-	12.3523007931984	0.025	0.025	0.000	0.000
LRP1	0.020	0.020	0.000	0.000	-	-	12.1930432508534	0.081	0.081	0.000	0.000
COL5A1	0.030	0.030	0.000	0.000	-	-	12.1824260952375	0.086	0.086	0.000	0.000
KCNQ2	0.025	0.025	0.000	0.000	-	-	12.1383277844204	0.056	0.056	0.000	0.000
HIF1A	0.020	0.020	0.000	0.000	-	-	12.0781386351926	0.030	0.030	0.000	0.000
EPHA3	0.020	0.020	0.000	0.000	-	-	12.0669694873772	0.056	0.056	0.000	0.000
POLR3E	0.025	0.025	0.000	0.000	-	-	12.0482474126384	0.040	0.040	0.000	0.000
ATRX	0.020	0.020	0.000	0.000	CC	PC	12.0414598855802	0.076	0.076	0.000	0.000
EPHB1	0.035	0.035	0.000	0.000	-	-	11.9544082629045	0.061	0.061	0.000	0.000
COL4A5	0.025	0.025	0.000	0.000	-	-	11.8611393081815	0.045	0.045	0.000	0.000
TRPC4	0.030	0.030	0.000	0.000	-	-	11.8278222600261	0.056	0.056	0.000	0.000
MET	0.015	0.015	0.000	0.000	CC	-	11.7586538316053	0.035	0.035	0.000	0.000
STAT3	0.020	0.020	0.000	0.000	-	PC	11.6737494564451	0.020	0.020	0.000	0.000
RAD50	0.020	0.020	0.000	0.000	-	-	11.3240838706904	0.045	0.045	0.000	0.000
CASC5	0.025	0.025	0.000	0.000	-	-	11.2928983589816	0.071	0.071	0.000	0.000
CTBP1	0.015	0.015	0.000	0.000	-	-	11.2736150270083	0.020	0.020	0.000	0.000
FLNC	0.035	0.035	0.000	0.000	-	-	11.2549554333947	0.101	0.101	0.000	0.000
RING1	0.020	0.020	0.000	0.000	-	-	11.1897931577649	0.035	0.035	0.000	0.000
ABL1	0.015	0.015	0.000	0.000	CC	PC	11.1887803115867	0.030	0.030	0.000	0.000
RPS6KA1	0.015	0.015	0.000	0.000	-	-	11.1759411947836	0.045	0.045	0.000	0.000
PRKCB	0.025	0.025	0.000	0.000	-	-	11.1426412745743	0.045	0.045	0.000	0.000
ELMO1	0.015	0.015	0.000	0.000	-	-	11.0259315592185	0.056	0.056	0.000	0.000
IL2RG	0.020	0.020	0.000	0.000	-	-	10.8270630671499	0.040	0.040	0.000	0.000
ERBB4	0.015	0.015	0.000	0.000	-	-	10.7587019553925	0.061	0.061	0.000	0.000
SMARCA2	0.030	0.030	0.000	0.000	-	-	10.6426634966918	0.056	0.056	0.000	0.000
SUPT16H	0.025	0.025	0.000	0.000	-	-	10.5181940973626	0.045	0.045	0.000	0.000
BDP1	0.020	0.020	0.000	0.000	-	-	10.5059975792406	0.051	0.051	0.000	0.000
COL4A2	0.025	0.025	0.000	0.000	-	-	10.3288180249559	0.061	0.061	0.000	0.000
AMPH	0.015	0.015	0.000	0.000	-	PC	10.2438525382965	0.051	0.051	0.000	0.000
JAK1	0.015	0.015	0.000	0.000	CC	-	10.1893420771891	0.035	0.035	0.000	0.000
CASP8	0.025	0.025	0.000	0.000	-	PC	10.0798379029914	0.040	0.040	0.000	0.000
COL27A1	0.045	0.045	0.000	0.000	-	-	10.0195659429575	0.096	0.096	0.000	0.000
PAPPA	0.015	0.015	0.000	0.000	-	-	9.94659303367764	0.081	0.081	0.000	0.000
RIPK1	0.020	0.020	0.000	0.000	-	-	9.897592312045	0.025	0.025	0.000	0.000
GRIA2	0.030	0.030	0.000	0.000	-	-	9.87149340502896	0.061	0.061	0.000	0.000
PTK2B	0.020	0.020	0.000	0.000	-	-	9.81359158878572	0.045	0.045	0.000	0.000
THRA	0.010	0.005	0.000	0.005	-	-	9.78350953675455	0.020	0.015	0.000	0.005
TEK	0.015	0.015	0.000	0.000	-	-	9.69197038496669	0.051	0.051	0.000	0.000
APP	0.025	0.025	0.000	0.000	-	-	9.64431117936328	0.025	0.025	0.000	0.000
SP3	0.015	0.015	0.000	0.000	-	-	9.56893157534263	0.020	0.020	0.000	0.000
MCC	0.020	0.020	0.000	0.000	-	-	9.50584184427988	0.056	0.056	0.000	0.000
ITGB3	0.015	0.015	0.000	0.000	-	-	9.35352666532277	0.020	0.020	0.000	0.000
CTBP2	0.020	0.020	0.000	0.000	-	-	9.32436357515531	0.045	0.045	0.000	0.000
AKT3	0.015	0.015	0.000	0.000	-	-	9.24650222516994	0.025	0.025	0.000	0.000
NCOA6	0.025	0.025	0.000	0.000	-	-	9.17860897205009	0.051	0.051	0.000	0.000
SMAD2	0.020	0.020	0.000	0.000	-	PC	8.86295654527308	0.025	0.025	0.000	0.000
C5	0.015	0.015	0.000	0.000	-	-	8.80396739041069	0.035	0.035	0.000	0.000
PRKCG	0.015	0.015	0.000	0.000	-	-	8.7626742617904	0.030	0.030	0.000	0.000
CCNE1	0.015	0.015	0.000	0.000	CC	-	8.73346390772802	0.015	0.015	0.000	0.000
ITGB2	0.015	0.015	0.000	0.000	-	-	8.70796450941185	0.035	0.035	0.000	0.000
TOP1	0.015	0.015	0.000	0.000	CC	-	8.68616283879199	0.020	0.020	0.000	0.000
RBL2	0.015	0.015	0.000	0.000	-	-	8.67654077271222	0.020	0.020	0.000	0.000
RIMS2	0.030	0.030	0.000	0.000	-	-	8.60006511311898	0.096	0.096	0.000	0.000
COL5A3	0.020	0.020	0.000	0.000	-	-	8.54222069868602	0.086	0.086	0.000	0.000
LYN	0.010	0.010	0.000	0.000	-	PC	8.46290266373683	0.015	0.015	0.000	0.000
PAK4	0.010	0.010	0.000	0.000	-	-	8.44403923225585	0.030	0.030	0.000	0.000
NFATC1	0.025	0.025	0.000	0.000	-	-	8.42465335139105	0.045	0.045	0.000	0.000
MAPK6	0.015	0.015	0.000	0.000	-	-	8.38035569192085	0.025	0.025	0.000	0.000
MED13	0.020	0.020	0.000	0.000	-	PC	8.34098184791686	0.051	0.051	0.000	0.000
HCK	0.020	0.020	0.000	0.000	-	-	8.26068708869894	0.035	0.035	0.000	0.000
CDC23	0.010	0.010	0.000	0.000	-	-	8.2430802795446	0.015	0.015	0.000	0.000
MAP3K4	0.020	0.020	0.000	0.000	-	PC	8.2207926680417	0.061	0.061	0.000	0.000
CHD7	0.010	0.010	0.000	0.000	-	-	8.1805349431184	0.076	0.076	0.000	0.000
FGFR4	0.015	0.015	0.000	0.000	-	-	8.13729446017944	0.040	0.040	0.000	0.000
PAX8	0.015	0.015	0.000	0.000	CC	-	8.11817378421345	0.020	0.020	0.000	0.000
MAPK10	0.015	0.015	0.000	0.000	-	-	8.11317949069251	0.030	0.030	0.000	0.000
TJP2	0.040	0.040	0.000	0.000	-	PC	8.06654464059902	0.051	0.051	0.000	0.000
MYLK	0.045	0.045	0.000	0.000	-	-	8.02030647087076	0.056	0.056	0.000	0.000
IL6ST	0.015	0.015	0.000	0.000	CC	-	8.00485979073111	0.025	0.025	0.000	0.000
NSUN2	0.010	0.010	0.000	0.000	-	-	7.94522838984533	0.025	0.025	0.000	0.000
PRKACG	0.015	0.015	0.000	0.000	-	-	7.92179845743948	0.025	0.025	0.000	0.000
ITGB4	0.015	0.015	0.000	0.000	-	-	7.8957222485875	0.066	0.066	0.000	0.000
NTRK1	0.010	0.010	0.000	0.000	CC	-	7.87769836218475	0.025	0.025	0.000	0.000
MYBPC2	0.020	0.020	0.000	0.000	-	-	7.83843477335489	0.061	0.061	0.000	0.000
NCAM1	0.025	0.025	0.000	0.000	-	-	7.74533728140914	0.071	0.071	0.000	0.000
ITGA4	0.010	0.010	0.000	0.000	-	-	7.72160323371322	0.025	0.025	0.000	0.000
ZAP70	0.020	0.020	0.000	0.000	-	-	7.69776397549124	0.040	0.040	0.000	0.000
SMG5	0.015	0.015	0.000	0.000	-	-	7.60730867159128	0.020	0.020	0.000	0.000
RPA1	0.015	0.015	0.000	0.000	-	-	7.60423406222681	0.025	0.025	0.000	0.000
HCLS1	0.020	0.020	0.000	0.000	-	-	7.59972751609935	0.056	0.056	0.000	0.000
PLCE1	0.010	0.010	0.000	0.000	-	-	7.57299261714907	0.061	0.061	0.000	0.000
RAF1	0.020	0.020	0.000	0.000	CC	-	7.56315538541357	0.030	0.030	0.000	0.000
PTPN11	0.015	0.015	0.000	0.000	CC	PC	7.55712209694678	0.020	0.020	0.000	0.000
SMPD2	0.010	0.010	0.000	0.000	-	-	7.51742657126427	0.020	0.020	0.000	0.000
GRIK5	0.020	0.020	0.000	0.000	-	-	7.45555749566842	0.040	0.040	0.000	0.000
MAP3K5	0.015	0.015	0.000	0.000	-	-	7.40451388361826	0.040	0.040	0.000	0.000
MYO5A	0.020	0.020	0.000	0.000	-	-	7.40287544252009	0.045	0.045	0.000	0.000
DNM2	0.015	0.015	0.000	0.000	CC	-	7.39100783933381	0.035	0.035	0.000	0.000
PTPRS	0.061	0.061	0.000	0.000	-	-	7.38417971635652	0.096	0.096	0.000	0.000
ROCK1	0.010	0.010	0.000	0.000	-	-	7.26048159041818	0.040	0.040	0.000	0.000
CAD	0.015	0.015	0.000	0.000	-	PC	7.24433003825785	0.030	0.030	0.000	0.000
BMPR2	0.030	0.030	0.000	0.000	-	-	7.22755792414759	0.096	0.096	0.000	0.000
RB1CC1	0.015	0.015	0.000	0.000	-	-	7.2267767190144	0.056	0.051	0.000	0.005
PTRF	0.020	0.020	0.000	0.000	-	-	7.21214143748399	0.035	0.035	0.000	0.000
SIN3B	0.010	0.010	0.000	0.000	-	-	7.16889230615547	0.030	0.030	0.000	0.000
ERBB3	0.015	0.015	0.000	0.000	-	-	7.16833741331315	0.025	0.025	0.000	0.000
TYK2	0.010	0.010	0.000	0.000	-	-	7.11691304498331	0.030	0.030	0.000	0.000
GSN	0.010	0.010	0.000	0.000	-	-	7.10863119243135	0.015	0.015	0.000	0.000
INPPL1	0.010	0.010	0.000	0.000	-	-	7.04074580794429	0.025	0.025	0.000	0.000
IL12RB2	0.010	0.010	0.000	0.000	-	-	7.01823200456872	0.020	0.020	0.000	0.000
HDAC5	0.015	0.015	0.000	0.000	-	-	7.01000690612514	0.040	0.040	0.000	0.000
PAK2	0.010	0.010	0.000	0.000	-	-	6.99012299551353	0.020	0.020	0.000	0.000
UPF1	0.005	0.005	0.000	0.000	-	-	6.96616127314646	0.040	0.040	0.000	0.000
NRXN1	0.015	0.015	0.000	0.000	-	-	6.82330064362819	0.071	0.071	0.000	0.000
ITGAX	0.010	0.010	0.000	0.000	-	-	6.76681865368398	0.030	0.030	0.000	0.000
GRIK1	0.015	0.015	0.000	0.000	-	-	6.74155292116341	0.030	0.030	0.000	0.000
MAP3K10	0.015	0.015	0.000	0.000	-	-	6.7279551433686	0.035	0.035	0.000	0.000
PSMC5	0.010	0.010	0.000	0.000	-	-	6.63549133817412	0.015	0.015	0.000	0.000
SOS1	0.025	0.025	0.000	0.000	-	PC	6.62926918951892	0.030	0.030	0.000	0.000
NSMAF	0.010	0.010	0.000	0.000	-	-	6.52594736850785	0.040	0.040	0.000	0.000
SMC2	0.010	0.010	0.000	0.000	-	-	6.52310180965916	0.051	0.051	0.000	0.000
GUCY2F	0.035	0.035	0.000	0.000	-	-	6.51250921381445	0.040	0.040	0.000	0.000
VCAM1	0.015	0.015	0.000	0.000	-	-	6.48078114446991	0.020	0.020	0.000	0.000
IRS2	0.010	0.010	0.000	0.000	-	PC	6.43422590578569	0.045	0.045	0.000	0.000
POLE	0.035	0.035	0.000	0.000	-	-	6.39859152532195	0.086	0.086	0.000	0.000
TOP2A	0.010	0.010	0.000	0.000	-	-	6.38368095532383	0.020	0.020	0.000	0.000
FLT4	0.020	0.020	0.000	0.000	-	-	6.38293586721365	0.056	0.056	0.000	0.000
NOTCH2	0.010	0.010	0.000	0.000	CC	-	6.37696540461616	0.045	0.045	0.000	0.000
SIN3A	0.030	0.030	0.000	0.000	-	PC	6.3756866994492	0.056	0.056	0.000	0.000
SHC1	0.015	0.015	0.000	0.000	-	-	6.34068277145775	0.030	0.030	0.000	0.000
SPHK1	0.015	0.015	0.000	0.000	-	-	6.34037634834508	0.056	0.056	0.000	0.000
HOXB1	0.015	0.015	0.000	0.000	-	-	6.3234904839884	0.025	0.025	0.000	0.000
NCOA2	0.015	0.015	0.000	0.000	CC	-	6.31866738964813	0.051	0.051	0.000	0.000
MYC	0.010	0.005	0.000	0.005	CC	-	6.30224900816006	0.020	0.015	0.000	0.005
RASA1	0.025	0.025	0.000	0.000	-	PC	6.24882829620319	0.051	0.051	0.000	0.000
TFDP1	0.010	0.010	0.000	0.000	-	PC	6.1897087971534	0.015	0.015	0.000	0.000
BCLAF1	0.025	0.025	0.000	0.000	-	PC	6.13934136730035	0.040	0.040	0.000	0.000
WNK1	0.025	0.025	0.000	0.000	-	-	6.06958264252384	0.066	0.066	0.000	0.000
GFRA1	0.010	0.010	0.000	0.000	-	-	6.05543346349844	0.025	0.025	0.000	0.000
SLA	0.010	0.005	0.000	0.005	-	-	5.96394817832369	0.020	0.015	0.000	0.005
LAMA4	0.015	0.015	0.000	0.000	-	-	5.93589543305678	0.071	0.071	0.000	0.000
ANAPC7	0.015	0.015	0.000	0.000	-	-	5.93209306273643	0.020	0.020	0.000	0.000
MME	0.010	0.010	0.000	0.000	-	-	5.89140824518012	0.035	0.035	0.000	0.000
GRIK3	0.015	0.015	0.000	0.000	-	-	5.88512967059893	0.040	0.040	0.000	0.000
GRIN3A	0.020	0.020	0.000	0.000	-	-	5.87649237664509	0.045	0.045	0.000	0.000
TFAP2B	0.010	0.010	0.000	0.000	-	-	5.85906360891535	0.025	0.025	0.000	0.000
VAV2	0.010	0.010	0.000	0.000	-	-	5.85304793308986	0.025	0.025	0.000	0.000
BCL6	0.010	0.010	0.000	0.000	CC	-	5.85304793308986	0.035	0.035	0.000	0.000
MYO1F	0.005	0.005	0.000	0.000	-	-	5.82233713902121	0.061	0.061	0.000	0.000
