GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
PMP22	0.024	0.000	0.024	0.000	-	-	84.8126829919655	0.036	0.006	0.024	0.006
CASP3	0.054	0.006	0.042	0.006	-	-	84.4274109041347	0.054	0.006	0.042	0.006
FRS3	0.030	0.006	0.000	0.024	-	-	83.4430857761506	0.065	0.012	0.000	0.054
DLG4	0.018	0.006	0.012	0.000	-	-	83.0512933425133	0.024	0.012	0.012	0.000
KCNQ2	0.054	0.018	0.000	0.036	-	-	82.625035787003	0.107	0.042	0.006	0.060
TLN1	0.054	0.036	0.000	0.018	-	-	82.6036297641158	0.071	0.054	0.000	0.018
CTNNA1	0.042	0.036	0.006	0.000	-	-	81.0960664306432	0.065	0.054	0.006	0.006
ITGB8	0.018	0.006	0.006	0.006	-	-	80.5449747001904	0.089	0.042	0.006	0.042
GRM3	0.036	0.012	0.000	0.024	-	-	80.4795703418019	0.089	0.042	0.000	0.048
CTNNA3	0.024	0.018	0.000	0.006	-	-	80.1672264037018	0.060	0.042	0.000	0.018
RARA	0.048	0.006	0.000	0.042	CC	-	79.5110934446717	0.065	0.006	0.000	0.060
ADAM17	0.018	0.006	0.006	0.006	-	-	79.2634330615321	0.030	0.018	0.006	0.006
KDR	0.018	0.012	0.006	0.000	CC	-	78.9542177679061	0.054	0.036	0.006	0.012
CSK	0.018	0.012	0.000	0.006	-	-	78.7494700093223	0.036	0.024	0.000	0.012
ITGA8	0.042	0.012	0.006	0.024	-	-	78.4317106038765	0.060	0.024	0.012	0.024
PIK3R1	0.042	0.018	0.018	0.006	CC	PC	78.2002887098165	0.060	0.036	0.018	0.006
CDH11	0.042	0.042	0.000	0.000	CC	-	77.9805397133605	0.101	0.095	0.006	0.000
IGF1R	0.048	0.024	0.000	0.024	-	-	77.8959556237369	0.095	0.048	0.006	0.042
FGFR4	0.042	0.030	0.012	0.000	-	-	76.5670888348977	0.065	0.036	0.018	0.012
GATA4	0.071	0.006	0.018	0.048	-	-	76.244744006534	0.083	0.012	0.018	0.054
IQGAP1	0.048	0.012	0.000	0.036	-	-	75.7479125706764	0.107	0.054	0.000	0.054
SDC2	0.024	0.006	0.000	0.018	-	-	75.4831678990389	0.042	0.012	0.000	0.030
BDNF	0.012	0.012	0.000	0.000	-	-	72.9556021020002	0.042	0.024	0.006	0.012
E2F1	0.018	0.006	0.000	0.012	-	-	72.4248676045555	0.024	0.012	0.000	0.012
FGFR3	0.012	0.000	0.012	0.000	CC	PC	72.1828394106483	0.030	0.006	0.018	0.006
SEC62	0.024	0.000	0.000	0.024	-	-	71.8508543610557	0.077	0.000	0.006	0.071
BRCA1	0.036	0.018	0.006	0.012	CC	PC	71.6641570692736	0.065	0.036	0.006	0.024
RB1	0.042	0.012	0.006	0.024	CC	PC	71.3090020899215	0.060	0.024	0.012	0.024
FBN2	0.048	0.030	0.012	0.006	-	PC	70.722998353258	0.107	0.071	0.030	0.006
LAMC3	0.012	0.012	0.000	0.000	-	-	69.7110495244498	0.065	0.036	0.000	0.030
PLCG2	0.036	0.018	0.012	0.006	-	-	69.6601303235037	0.071	0.054	0.012	0.006
COL17A1	0.036	0.018	0.006	0.012	-	-	69.3756180947908	0.054	0.030	0.006	0.018
E2F3	0.012	0.000	0.006	0.006	-	-	68.8271343158254	0.024	0.006	0.012	0.006
LCK	0.036	0.018	0.006	0.012	CC	-	68.8081435923037	0.036	0.018	0.006	0.012
PRKCG	0.042	0.042	0.000	0.000	-	-	68.1844699263997	0.060	0.060	0.000	0.000
RELA	0.036	0.018	0.006	0.012	-	-	68.0911969536374	0.036	0.018	0.006	0.012
ARRB2	0.012	0.000	0.012	0.000	-	-	67.9265010917802	0.012	0.000	0.012	0.000
JUP	0.042	0.012	0.000	0.036	-	-	67.7060193935813	0.107	0.048	0.000	0.065
TIAM1	0.036	0.030	0.006	0.000	-	-	67.0465692550329	0.125	0.113	0.012	0.000
PRKDC	0.042	0.030	0.000	0.012	-	-	66.9222856555086	0.131	0.101	0.000	0.030
NOS2	0.042	0.024	0.006	0.012	-	-	66.8903856125764	0.048	0.030	0.006	0.012
CDH18	0.054	0.018	0.012	0.024	-	-	66.311663497116	0.125	0.065	0.018	0.048
TRPC5	0.018	0.012	0.006	0.000	-	-	65.6098557631179	0.071	0.060	0.012	0.000
SMAD9	0.048	0.024	0.000	0.024	-	-	65.4988677901695	0.060	0.036	0.000	0.024
PCDHB11	0.012	0.012	0.000	0.000	-	-	65.3728605077975	0.054	0.048	0.000	0.006
APP	0.036	0.018	0.018	0.000	-	-	65.0475134644357	0.054	0.024	0.030	0.000
GUCY1A3	0.042	0.030	0.000	0.012	-	-	64.4526472553426	0.071	0.054	0.000	0.018
CYP2E1	0.012	0.000	0.006	0.006	-	-	63.8230445617217	0.060	0.018	0.012	0.030
KCNMA1	0.036	0.018	0.006	0.012	-	-	63.5281973818935	0.089	0.065	0.006	0.024
TEK	0.048	0.024	0.024	0.000	-	-	62.5257908981888	0.083	0.042	0.036	0.006
COL9A3	0.012	0.006	0.000	0.006	-	-	62.2374307474135	0.065	0.012	0.006	0.048
ETV1	0.036	0.018	0.000	0.018	CC	-	61.3120860569232	0.065	0.024	0.000	0.042
HIF1A	0.030	0.024	0.000	0.006	-	-	60.8676071935746	0.030	0.024	0.000	0.006
ACTA2	0.012	0.006	0.006	0.000	-	-	60.8160464141588	0.060	0.018	0.036	0.006
APLP2	0.030	0.018	0.000	0.012	-	-	60.7170573945117	0.042	0.024	0.000	0.018
NCOA2	0.036	0.018	0.000	0.024	CC	-	60.5316518966944	0.113	0.071	0.006	0.042
SPTAN1	0.042	0.024	0.000	0.018	-	-	60.1975164769765	0.095	0.071	0.000	0.024
LAMB1	0.030	0.018	0.000	0.012	-	-	59.749692257883	0.071	0.048	0.000	0.024
VCAN	0.036	0.018	0.018	0.000	-	-	58.7136988309874	0.113	0.095	0.018	0.000
CRK	0.006	0.000	0.006	0.000	-	-	58.5485832952439	0.018	0.000	0.012	0.006
CDH4	0.036	0.012	0.000	0.024	-	-	58.0761532212399	0.131	0.071	0.006	0.054
NOTCH3	0.036	0.030	0.000	0.006	-	-	57.6782976025069	0.060	0.048	0.000	0.012
CTNND1	0.036	0.036	0.006	0.000	-	PC	57.6732585804109	0.065	0.060	0.012	0.000
EPHB2	0.036	0.012	0.018	0.006	-	-	57.4608690973807	0.060	0.036	0.018	0.006
CCND1	0.054	0.000	0.006	0.048	CC	PC	57.0607403951104	0.071	0.000	0.006	0.065
GRIK1	0.012	0.006	0.006	0.000	-	-	56.8853556511486	0.054	0.042	0.012	0.000
AKT1	0.006	0.006	0.000	0.000	CC	PC	56.8078180898943	0.018	0.018	0.000	0.000
IL7	0.006	0.000	0.000	0.006	-	-	56.6665548503154	0.042	0.006	0.000	0.036
HSPD1	0.006	0.006	0.000	0.000	-	-	56.6665548503154	0.030	0.024	0.006	0.000
CSNK2A1	0.036	0.018	0.006	0.012	-	-	56.4532768457467	0.054	0.030	0.006	0.018
GNB2L1	0.036	0.018	0.012	0.006	-	-	56.1645092577648	0.042	0.018	0.012	0.012
CBLC	0.012	0.000	0.000	0.012	CC	-	56.0389517529792	0.030	0.006	0.000	0.024
RELB	0.006	0.000	0.000	0.006	-	-	55.9949427112611	0.042	0.024	0.000	0.018
SOCS7	0.006	0.000	0.000	0.006	-	-	55.9150803094308	0.036	0.006	0.000	0.030
PCDHA12	0.006	0.006	0.000	0.000	-	-	55.9150803094308	0.077	0.071	0.000	0.006
FGF8	0.006	0.000	0.006	0.000	-	-	55.9150803094308	0.024	0.006	0.012	0.006
SUV39H1	0.036	0.024	0.012	0.000	-	-	54.8371645572354	0.042	0.024	0.018	0.000
CTTN	0.042	0.006	0.000	0.036	-	PC	54.8098105233535	0.071	0.018	0.006	0.048
NTN4	0.012	0.006	0.000	0.006	-	-	54.2753637431172	0.024	0.012	0.006	0.006
SMARCE1	0.030	0.000	0.000	0.030	-	-	53.5804555163455	0.065	0.012	0.000	0.054
PRKX	0.030	0.012	0.006	0.012	-	-	53.1870883190329	0.060	0.018	0.030	0.012
CDH2	0.042	0.024	0.012	0.006	-	-	52.9562588135528	0.071	0.042	0.024	0.006
FZD1	0.060	0.018	0.000	0.042	-	-	52.0233959852775	0.095	0.030	0.000	0.065
NOTCH4	0.030	0.012	0.006	0.012	-	-	51.1330512822102	0.048	0.024	0.012	0.012
PTEN	0.030	0.024	0.006	0.000	CC	PC	51.0400390579896	0.113	0.065	0.054	0.006
SMAD5	0.030	0.012	0.012	0.006	-	-	50.9231659033828	0.036	0.012	0.018	0.006
SCN5A	0.030	0.024	0.000	0.006	-	-	50.7176512188613	0.083	0.065	0.012	0.006
KCNQ3	0.071	0.018	0.000	0.054	-	-	50.059154124272	0.101	0.036	0.000	0.065
ABL1	0.036	0.012	0.000	0.024	CC	PC	50.0130788946183	0.036	0.012	0.000	0.024
APOB	0.042	0.036	0.000	0.006	-	-	49.6019689870491	0.143	0.137	0.000	0.006
AKAP9	0.030	0.030	0.000	0.006	CC	PC	49.5431048702671	0.155	0.101	0.000	0.071
KIF1B	0.030	0.018	0.006	0.006	-	-	49.3493408711901	0.077	0.054	0.012	0.012
VEGFA	0.048	0.000	0.000	0.048	-	-	49.0076029408858	0.065	0.000	0.000	0.065
RAC1	0.030	0.000	0.000	0.030	-	PC	48.7399026736465	0.042	0.000	0.000	0.042
PPP2R5D	0.036	0.006	0.000	0.030	-	-	48.6306576610161	0.060	0.006	0.000	0.054
EGR1	0.024	0.012	0.006	0.006	-	-	47.9733998834139	0.024	0.012	0.006	0.006
TRAF6	0.036	0.018	0.000	0.018	-	-	47.9476040880607	0.042	0.024	0.000	0.018
ESR1	0.030	0.018	0.006	0.006	-	PC	47.9434663630518	0.054	0.036	0.006	0.012
TGFB2	0.024	0.012	0.000	0.012	-	-	47.8082172021921	0.036	0.018	0.000	0.018
PTK2B	0.024	0.012	0.012	0.000	-	-	47.6279095720339	0.065	0.048	0.018	0.000
PIP5K1A	0.024	0.006	0.000	0.018	-	PC	47.4507461992004	0.036	0.018	0.000	0.018
DVL1	0.024	0.006	0.012	0.006	-	-	47.3863865325286	0.054	0.024	0.018	0.012
RASGRF2	0.030	0.024	0.006	0.000	-	-	47.3745138638176	0.060	0.048	0.012	0.000
RGL1	0.024	0.018	0.000	0.006	-	-	47.3546731045413	0.042	0.030	0.000	0.012
BRCA2	0.024	0.012	0.000	0.012	CC	PC	47.3298342332655	0.107	0.071	0.006	0.030
NR1D1	0.024	0.006	0.000	0.018	-	-	47.081992943867	0.077	0.024	0.000	0.054
NTRK3	0.030	0.006	0.000	0.024	CC	-	46.9446038589282	0.065	0.036	0.000	0.030
COL6A1	0.024	0.018	0.006	0.000	-	-	46.9414586833375	0.060	0.042	0.018	0.000
DAXX	0.024	0.024	0.000	0.000	CC	-	46.7934502089072	0.042	0.036	0.006	0.000
CSNK1G2	0.030	0.006	0.018	0.006	-	-	46.680543808229	0.042	0.012	0.024	0.006
FADD	0.048	0.000	0.006	0.042	-	-	46.4922759307414	0.060	0.000	0.006	0.054
RXRA	0.030	0.012	0.000	0.018	-	PC	46.4659392232154	0.030	0.012	0.000	0.018
GLI1	0.024	0.012	0.000	0.012	-	-	46.0708177618318	0.036	0.024	0.000	0.012
TCF7L2	0.024	0.006	0.012	0.006	CC	PC	45.9242618855524	0.065	0.042	0.012	0.012
ETS1	0.030	0.012	0.000	0.018	-	-	45.893704402584	0.030	0.012	0.000	0.018
MED1	0.024	0.006	0.000	0.018	-	-	44.8897444566638	0.095	0.042	0.000	0.054
MYBL2	0.024	0.000	0.000	0.024	-	-	44.5810584638397	0.065	0.024	0.000	0.042
HGF	0.036	0.018	0.000	0.018	-	PC	44.506682876867	0.083	0.048	0.000	0.036
ACTN4	0.024	0.006	0.000	0.018	-	-	43.9980505029595	0.054	0.024	0.000	0.030
FLT1	0.030	0.012	0.000	0.018	-	-	43.8288162423078	0.065	0.048	0.000	0.018
CHEK2	0.024	0.018	0.006	0.000	CC	PC	43.5697071973666	0.030	0.024	0.006	0.000
HCK	0.036	0.018	0.000	0.018	-	-	43.5185913412354	0.042	0.018	0.000	0.024
C3	0.024	0.024	0.000	0.000	-	-	43.468522976707	0.071	0.065	0.012	0.000
PIP4K2B	0.024	0.000	0.000	0.024	-	-	43.355872482156	0.042	0.006	0.000	0.036
LDB3	0.024	0.000	0.018	0.006	-	-	43.2307811357715	0.030	0.006	0.018	0.006
AXIN1	0.024	0.024	0.000	0.000	-	-	43.1193647809943	0.048	0.036	0.006	0.006
RIT2	0.030	0.006	0.018	0.006	-	-	42.9510487977336	0.071	0.030	0.030	0.012
CALML6	0.024	0.000	0.012	0.012	-	-	42.3406244345248	0.030	0.000	0.018	0.012
FGFR1	0.024	0.018	0.006	0.000	CC	-	42.0953618135347	0.054	0.042	0.012	0.000
MAPK8	0.024	0.018	0.006	0.000	-	-	41.3798707862106	0.030	0.018	0.006	0.006
RAP2A	0.024	0.006	0.000	0.018	-	-	41.3410345726904	0.042	0.012	0.000	0.030
PPARA	0.024	0.000	0.024	0.000	-	-	40.8118308074481	0.024	0.000	0.024	0.000
ZBTB16	0.024	0.018	0.000	0.006	-	-	40.4881633812209	0.054	0.048	0.000	0.006
FLT4	0.018	0.012	0.006	0.000	-	-	40.4153793576059	0.089	0.071	0.012	0.012
THBS1	0.024	0.018	0.006	0.000	-	-	40.204446179821	0.065	0.060	0.006	0.000
ROCK1	0.024	0.006	0.000	0.018	-	-	39.9952684516179	0.030	0.012	0.000	0.018
HLA-B	0.018	0.018	0.000	0.000	-	PC	39.8905707416896	0.048	0.048	0.000	0.000
CACNA1C	0.054	0.030	0.012	0.012	-	-	39.8669902523072	0.125	0.101	0.012	0.012
P2RX7	0.024	0.006	0.006	0.012	-	-	39.8651519040995	0.024	0.006	0.006	0.012
IL7R	0.024	0.006	0.000	0.018	CC	-	39.7426541230057	0.095	0.024	0.006	0.071
COL4A2	0.030	0.006	0.000	0.024	-	-	38.9607799366067	0.065	0.030	0.000	0.036
EPHA2	0.048	0.030	0.012	0.006	-	-	38.7118673554854	0.060	0.036	0.012	0.012
DCHS2	0.030	0.030	0.000	0.000	-	-	38.6979224871893	0.095	0.083	0.000	0.018
P2RX2	0.024	0.012	0.006	0.006	-	-	38.6868192314226	0.036	0.018	0.012	0.006
PPARD	0.018	0.018	0.000	0.000	-	-	38.6138292705371	0.036	0.036	0.000	0.000
PAFAH1B1	0.018	0.006	0.012	0.000	-	-	38.4113867385638	0.036	0.018	0.018	0.000
CAV1	0.036	0.012	0.000	0.024	-	-	38.3592318085779	0.060	0.012	0.000	0.048
PIK3CD	0.024	0.006	0.012	0.006	-	-	38.0573375192078	0.054	0.030	0.012	0.012
F2	0.024	0.006	0.000	0.018	-	-	37.581815087065	0.048	0.030	0.000	0.018
NFKBIB	0.018	0.012	0.000	0.006	-	-	37.5233761138167	0.042	0.018	0.000	0.024
FRS2	0.030	0.006	0.000	0.024	-	-	36.8571502259263	0.042	0.006	0.000	0.036
GUCY1B3	0.024	0.012	0.000	0.012	-	-	36.8538570510692	0.054	0.036	0.000	0.018
TBL1XR1	0.042	0.006	0.006	0.030	-	PC	36.6814129401861	0.060	0.006	0.006	0.048
TRRAP	0.030	0.018	0.000	0.018	-	-	36.552045654613	0.196	0.131	0.000	0.071
NCOA1	0.018	0.006	0.006	0.006	CC	-	36.5389757882645	0.054	0.036	0.006	0.012
DAB1	0.018	0.012	0.000	0.006	-	-	35.8321614948583	0.048	0.042	0.000	0.006
PRKCI	0.024	0.000	0.000	0.024	-	-	35.5999436969831	0.089	0.006	0.006	0.077
IKBKG	0.024	0.000	0.006	0.018	-	-	35.489818157205	0.036	0.000	0.006	0.030
ACTN3	0.024	0.006	0.006	0.012	-	-	35.4660449478335	0.042	0.012	0.006	0.024
ITPR2	0.024	0.012	0.000	0.012	-	-	35.1535266277218	0.119	0.077	0.006	0.036
NRAS	0.024	0.006	0.006	0.012	CC	PC	34.9993507500977	0.030	0.012	0.006	0.012
CACNB3	0.018	0.006	0.012	0.000	-	-	34.6858000667336	0.030	0.012	0.012	0.006
LAMB2	0.018	0.012	0.006	0.000	-	-	34.5094051711514	0.071	0.054	0.018	0.000
PPP1R9B	0.018	0.000	0.000	0.018	-	-	34.3693171133972	0.024	0.006	0.000	0.018
HDAC1	0.024	0.012	0.000	0.012	-	-	34.0889276119122	0.030	0.012	0.006	0.012
