GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
HES1	0.063	0.000	0.003	0.060	-	-	17.0049426283329	0.142	0.003	0.003	0.136
EPOR	0.041	0.000	0.006	0.035	-	-	16.7063978046056	0.095	0.003	0.006	0.085
TTN	0.120	0.104	0.000	0.016	-	-	15.8157483756702	0.209	0.184	0.000	0.028
SHC1	0.054	0.003	0.000	0.051	-	-	15.2229524603711	0.054	0.003	0.000	0.051
UBR5	0.073	0.013	0.000	0.060	-	-	14.5744788346207	0.092	0.013	0.000	0.079
AKT2	0.063	0.000	0.000	0.063	CC	-	14.0189865697059	0.063	0.000	0.000	0.063
PSMB4	0.054	0.003	0.000	0.051	-	-	13.7932473554385	0.066	0.003	0.000	0.063
BCL2L1	0.051	0.000	0.000	0.051	-	-	13.6320738181843	0.051	0.000	0.000	0.051
GP5	0.051	0.003	0.000	0.047	-	-	13.3174258953448	0.146	0.003	0.003	0.139
CREBBP	0.057	0.022	0.032	0.006	CC	-	12.9821683412183	0.060	0.022	0.032	0.009
ECE2	0.041	0.000	0.000	0.041	-	-	12.6264970439386	0.161	0.009	0.000	0.152
CKS1B	0.047	0.000	0.000	0.047	-	-	12.2200679936415	0.051	0.000	0.000	0.051
SIN3B	0.041	0.000	0.000	0.041	-	-	12.1212825045171	0.095	0.006	0.000	0.089
RFX1	0.104	0.000	0.000	0.104	-	-	12.0805389517111	0.120	0.003	0.000	0.117
GLI2	0.035	0.022	0.006	0.006	-	-	11.4388180255896	0.035	0.022	0.006	0.006
PIAS3	0.051	0.000	0.000	0.051	-	-	11.3215795071235	0.057	0.000	0.000	0.057
PTEN	0.032	0.006	0.025	0.000	CC	PC	11.3151240559718	0.079	0.006	0.066	0.006
GRB2	0.041	0.006	0.000	0.035	-	-	10.8296670584728	0.041	0.006	0.000	0.035
JUNB	0.038	0.000	0.000	0.038	-	-	10.802221460908	0.092	0.000	0.000	0.092
TRIM24	0.051	0.003	0.000	0.051	-	-	10.7662921556157	0.063	0.003	0.000	0.063
STAT1	0.047	0.006	0.000	0.041	-	-	10.749138712487	0.047	0.006	0.000	0.041
NUMA1	0.041	0.009	0.003	0.028	CC	PC	10.6870106404461	0.051	0.013	0.003	0.035
AKT3	0.051	0.000	0.003	0.047	-	-	10.4526988716293	0.051	0.000	0.003	0.047
BCL6	0.120	0.003	0.003	0.114	CC	-	10.1382168869513	0.130	0.003	0.003	0.123
CYC1	0.101	0.000	0.003	0.098	-	-	10.0259698625164	0.253	0.003	0.003	0.250
YWHAE	0.044	0.006	0.009	0.028	CC	-	9.78759781180474	0.044	0.006	0.009	0.028
ITGAV	0.041	0.006	0.000	0.035	-	-	9.77960834266727	0.047	0.006	0.000	0.041
TFAP2A	0.041	0.000	0.000	0.041	-	-	9.54821518107574	0.047	0.000	0.000	0.047
EHHADH	0.035	0.000	0.000	0.035	-	-	9.51110931738717	0.158	0.006	0.000	0.152
AKT1	0.032	0.000	0.000	0.032	CC	PC	9.46511647066618	0.032	0.000	0.000	0.032
CSNK2A1	0.041	0.003	0.003	0.035	-	-	9.38257884944839	0.041	0.003	0.003	0.035
MMP8	0.035	0.009	0.000	0.025	-	-	8.92874101807723	0.051	0.009	0.000	0.041
SCMH1	0.038	0.000	0.000	0.038	-	-	8.80654583678654	0.098	0.000	0.000	0.098
EDN1	0.035	0.000	0.000	0.035	-	-	8.69198081960766	0.047	0.000	0.000	0.047
BRCA1	0.041	0.035	0.003	0.003	CC	PC	8.5728928177078	0.041	0.035	0.003	0.003
GLIS3	0.041	0.003	0.013	0.025	-	-	8.44980270070006	0.044	0.006	0.013	0.025
ETS1	0.035	0.003	0.013	0.019	-	-	8.41512731597564	0.035	0.003	0.013	0.019
KIF21A	0.032	0.006	0.000	0.025	-	-	8.33651264936892	0.047	0.009	0.000	0.038
NF1	0.044	0.019	0.022	0.003	CC	PC	8.30566053439678	0.117	0.038	0.076	0.003
PIK3R3	0.035	0.000	0.003	0.032	-	-	8.27906024534966	0.057	0.000	0.003	0.054
CASP2	0.038	0.000	0.000	0.038	-	-	7.99386424110105	0.044	0.000	0.000	0.044
AURKA	0.035	0.000	0.000	0.035	-	-	7.71872257896096	0.035	0.000	0.000	0.035
MAPK14	0.028	0.003	0.000	0.025	-	-	7.65544153899978	0.028	0.003	0.000	0.025
RAC1	0.019	0.000	0.009	0.009	-	PC	7.53188728268739	0.019	0.000	0.009	0.009
SRF	0.025	0.003	0.000	0.022	-	-	7.51513078224395	0.041	0.003	0.000	0.038
PGR	0.038	0.003	0.000	0.035	-	-	7.35521856298757	0.044	0.003	0.000	0.041
MAPK13	0.025	0.000	0.000	0.025	-	-	7.35058337428299	0.025	0.000	0.000	0.025
SRPK1	0.028	0.003	0.000	0.025	-	-	7.31284728105978	0.028	0.003	0.000	0.025
KCNQ3	0.082	0.000	0.000	0.082	-	-	7.18987509356297	0.275	0.006	0.003	0.266
LAMB1	0.028	0.016	0.000	0.013	-	-	7.01642003316839	0.032	0.016	0.000	0.016
JUN	0.032	0.000	0.009	0.022	CC	-	6.99612372680232	0.032	0.000	0.009	0.022
TPX2	0.047	0.003	0.000	0.044	-	-	6.91551201577254	0.051	0.003	0.000	0.047
GLI1	0.032	0.016	0.000	0.016	-	-	6.82279282651024	0.032	0.016	0.000	0.016
CLDN1	0.028	0.000	0.000	0.028	-	-	6.79920872910825	0.133	0.000	0.003	0.130
PIK3CB	0.028	0.003	0.000	0.025	-	PC	6.6885892287687	0.047	0.003	0.000	0.044
POU2F1	0.022	0.006	0.000	0.016	-	-	6.63473563443641	0.022	0.006	0.000	0.016
NCOR2	0.025	0.006	0.000	0.019	-	PC	6.63294652695691	0.025	0.006	0.000	0.019
MEIS1	0.025	0.000	0.000	0.025	-	-	6.56360904063038	0.032	0.000	0.000	0.032
CDC25B	0.035	0.006	0.003	0.025	-	-	6.50873339992204	0.035	0.006	0.003	0.025
CCND3	0.025	0.000	0.000	0.025	CC	-	6.22455682648736	0.032	0.000	0.000	0.032
PRKCB	0.019	0.006	0.009	0.003	-	-	6.13078506888542	0.019	0.006	0.009	0.003
S100A9	0.038	0.000	0.000	0.038	-	-	5.74771590540854	0.054	0.000	0.000	0.054
ESR1	0.022	0.000	0.013	0.009	-	PC	5.63432389361273	0.022	0.000	0.013	0.009
CBX3	0.019	0.003	0.003	0.013	-	-	5.07853423806513	0.022	0.003	0.003	0.016
FOS	0.019	0.003	0.000	0.016	-	-	4.99319245274426	0.019	0.003	0.000	0.016
TLE1	0.016	0.003	0.003	0.009	-	-	4.91673020152607	0.016	0.003	0.003	0.009
PRKCZ	0.028	0.006	0.003	0.019	-	-	4.80581329774706	0.028	0.006	0.003	0.019
PKN1	0.025	0.000	0.000	0.025	-	-	4.72120985221041	0.120	0.009	0.000	0.111
NFIB	0.025	0.000	0.013	0.013	CC	-	4.70414784055578	0.035	0.000	0.016	0.019
YWHAH	0.019	0.000	0.003	0.016	-	-	4.68239202022141	0.019	0.000	0.003	0.016
ATN1	0.022	0.003	0.000	0.019	-	-	4.48412636726175	0.060	0.006	0.000	0.054
DLX2	0.016	0.006	0.000	0.009	-	-	4.44775726780868	0.038	0.006	0.000	0.032
PIAS2	0.019	0.003	0.000	0.016	-	-	4.42274646011785	0.022	0.003	0.003	0.016
NOTCH4	0.028	0.009	0.003	0.019	-	-	4.41597589505682	0.038	0.013	0.003	0.025
LRP2	0.025	0.016	0.000	0.009	-	-	4.38309517917491	0.070	0.044	0.000	0.028
MMP2	0.009	0.003	0.006	0.000	-	PC	4.28548300830494	0.009	0.003	0.006	0.000
CTNNB1	0.016	0.006	0.003	0.006	CC	PC	4.13740053354884	0.016	0.006	0.003	0.006
MMP14	0.019	0.000	0.000	0.019	-	-	3.98352162712307	0.028	0.000	0.006	0.022
TNF	0.013	0.003	0.000	0.009	-	-	3.89496740644551	0.032	0.003	0.003	0.025
MYB	0.006	0.003	0.003	0.000	CC	PC	3.86776620797902	0.006	0.003	0.003	0.000
RNF4	0.022	0.000	0.000	0.022	-	-	3.83126229568783	0.025	0.000	0.000	0.025
YWHAB	0.022	0.003	0.000	0.019	-	-	3.61903379968681	0.022	0.003	0.000	0.019
CASP1	0.019	0.006	0.000	0.013	-	-	3.61105825561803	0.032	0.006	0.000	0.025
PVRL1	0.019	0.000	0.003	0.016	-	-	3.56656693021437	0.025	0.003	0.003	0.019
CYBA	0.019	0.000	0.016	0.003	-	-	3.4811735478729	0.019	0.000	0.016	0.003
NFIC	0.013	0.000	0.009	0.003	-	-	3.41304204143844	0.013	0.000	0.009	0.003
OVGP1	0.019	0.009	0.000	0.009	-	-	3.40303341314297	0.022	0.013	0.000	0.009
NRAS	0.019	0.006	0.000	0.013	CC	PC	3.26356909431381	0.019	0.006	0.000	0.013
NLRC4	0.022	0.009	0.000	0.013	-	-	3.08960106900702	0.025	0.009	0.000	0.016
DSP	0.016	0.003	0.000	0.013	-	-	3.08302053275575	0.054	0.003	0.003	0.047
UQCRFS1	0.041	0.000	0.000	0.041	-	-	3.003564926299	0.142	0.000	0.000	0.142
TLN1	0.009	0.003	0.000	0.006	-	-	2.95409238744145	0.009	0.003	0.000	0.006
CHRDL2	0.009	0.000	0.003	0.006	-	-	2.95045746103707	0.047	0.000	0.006	0.041
FYN	0.009	0.000	0.006	0.003	-	-	2.86583442123827	0.009	0.000	0.006	0.003
PDGFRB	0.016	0.006	0.000	0.009	CC	-	2.82717959119981	0.022	0.009	0.000	0.013
TNFRSF6B	0.013	0.000	0.000	0.013	-	-	2.79966515551893	0.082	0.000	0.000	0.082
SP1	0.013	0.000	0.003	0.009	-	-	2.79390683849022	0.013	0.000	0.003	0.009
MAFG	0.016	0.000	0.000	0.016	-	-	2.78755780201542	0.032	0.000	0.000	0.032
JDP2	0.013	0.000	0.000	0.013	-	-	2.67992681717955	0.019	0.000	0.000	0.019
EN2	0.019	0.000	0.000	0.019	-	-	2.63070935191118	0.057	0.000	0.003	0.054
MSX1	0.013	0.003	0.000	0.009	-	-	2.60078421670299	0.022	0.003	0.000	0.019
PVR	0.019	0.000	0.000	0.019	-	-	2.5893625048032	0.038	0.000	0.000	0.038
GLI3	0.006	0.006	0.000	0.000	-	-	2.53363917982951	0.006	0.006	0.000	0.000
KCNQ2	0.028	0.003	0.000	0.025	-	-	2.48149308889059	0.076	0.006	0.000	0.070
HNF1A	0.013	0.003	0.003	0.006	-	-	2.44447079251093	0.016	0.003	0.003	0.009
KIF15	0.013	0.003	0.000	0.009	-	-	2.32384615209975	0.013	0.003	0.000	0.009
PPFIBP1	0.013	0.000	0.000	0.013	-	-	2.3191893652021	0.085	0.000	0.000	0.085
CHD7	0.009	0.000	0.003	0.006	-	-	2.31500394478186	0.041	0.003	0.003	0.035
LHX4	0.013	0.000	0.000	0.013	-	-	2.31466176147135	0.035	0.000	0.000	0.035
NR2F2	0.022	0.003	0.003	0.016	-	-	2.30928163073173	0.032	0.003	0.003	0.025
MED29	0.006	0.000	0.000	0.006	-	-	2.30403446977906	0.098	0.003	0.000	0.095
MED13L	0.013	0.003	0.000	0.009	-	-	2.19185570920574	0.025	0.009	0.000	0.016
PRKAR2B	0.013	0.003	0.000	0.009	-	-	2.0317908126137	0.013	0.003	0.000	0.009
EIF2S1	0.009	0.003	0.003	0.003	-	-	1.96097888749992	0.009	0.003	0.003	0.003
KLK3	0.006	0.003	0.000	0.003	-	-	1.95705846349136	0.006	0.003	0.000	0.003
PIK3R1	0.016	0.003	0.009	0.003	CC	PC	1.86501297847096	0.019	0.003	0.013	0.003
ARID1A	0.009	0.006	0.003	0.000	CC	PC	1.61171049638699	0.016	0.009	0.006	0.000
EDN2	0.022	0.000	0.000	0.022	-	-	1.57163446316456	0.095	0.000	0.000	0.095
PDK1	0.006	0.000	0.000	0.006	-	-	1.47996897805716	0.041	0.003	0.000	0.038
FOXF1	0.009	0.003	0.006	0.000	-	-	1.39595973085792	0.016	0.003	0.013	0.000
TBX2	0.016	0.000	0.003	0.013	-	-	1.37187333671125	0.016	0.000	0.003	0.013
SMAD1	0.009	0.003	0.000	0.006	-	-	1.36109783699295	0.009	0.003	0.000	0.006
CTSL1	0.009	0.006	0.000	0.003	-	-	1.1402718372	0.013	0.009	0.000	0.003
TRPC4	0.009	0.003	0.003	0.003	-	-	1.09217616666549	0.032	0.009	0.013	0.009
RAF1	0.006	0.000	0.000	0.006	CC	-	1.05661981573516	0.006	0.000	0.000	0.006
YWHAQ	0.013	0.000	0.000	0.013	-	-	1.03541873374441	0.013	0.000	0.000	0.013
PPP2R2C	0.006	0.000	0.000	0.006	-	-	0.965765464714594	0.016	0.000	0.000	0.016
KCNQ4	0.022	0.000	0.000	0.022	-	-	0.946844005803237	0.101	0.000	0.000	0.101
PIK3R5	0.003	0.000	0.003	0.000	-	-	0.926091542822617	0.016	0.000	0.013	0.003
ZFHX4	0.013	0.009	0.000	0.003	-	-	0.849243303182331	0.038	0.019	0.000	0.019
KLF9	0.013	0.000	0.006	0.006	-	-	0.83312412465001	0.013	0.000	0.006	0.006
RHPN1	0.136	0.000	0.000	0.136	-	-	0.815323180379747	0.253	0.000	0.003	0.250
PVRL3	0.016	0.000	0.000	0.016	-	-	0.795471138476063	0.028	0.000	0.000	0.028
HOXD12	0.013	0.000	0.000	0.013	-	-	0.781831391644326	0.041	0.003	0.000	0.038
ANXA2	0.006	0.006	0.000	0.000	-	-	0.762868115502247	0.013	0.006	0.000	0.006
HOMEZ	0.013	0.000	0.003	0.009	-	-	0.654336027734686	0.025	0.000	0.006	0.019
PPARG	0.003	0.000	0.000	0.003	CC	-	0.641535506363892	0.003	0.000	0.000	0.003
ACAP2	0.044	0.003	0.003	0.038	-	-	0.600951566032766	0.139	0.003	0.003	0.133
PPP2R2B	0.009	0.003	0.000	0.006	-	-	0.535059382461634	0.013	0.003	0.000	0.009
IL5RA	0.006	0.000	0.000	0.006	-	-	0.493794799158384	0.022	0.003	0.003	0.016
NDN	0.006	0.000	0.000	0.006	-	-	0.479632215618532	0.019	0.003	0.009	0.006
TFAP2C	0.009	0.000	0.000	0.009	-	-	0.414356308304638	0.038	0.000	0.000	0.038
MYCBP	0.082	0.000	0.000	0.082	-	-	0.341203691983122	0.089	0.000	0.000	0.089
AKAP3	0.019	0.003	0.000	0.016	-	-	0.149655696202532	0.054	0.003	0.000	0.051
CCNB2	0.006	0.000	0.003	0.003	-	-	0.116535642421046	0.006	0.000	0.003	0.003
ROPN1B	0.016	0.000	0.000	0.016	-	-	0.0737431962025316	0.019	0.000	0.000	0.019
ROPN1	0.013	0.003	0.000	0.009	-	-	0.054275	0.016	0.003	0.000	0.013
UQCRB	0.019	0.000	0.000	0.019	-	-	0.0508283227848101	0.038	0.003	0.000	0.035
EVPL	0.009	0.000	0.000	0.009	-	-	0.0323258834388186	0.035	0.006	0.003	0.025
BCAT1	0.003	0.000	0.000	0.003	-	-	0.0287404613780207	0.104	0.000	0.000	0.104
POLR2F	0.003	0.000	0.000	0.003	-	-	0.0216965849156118	0.009	0.000	0.000	0.009
TBX15	0.003	0.000	0.000	0.003	-	-	0.0215586581799003	0.009	0.003	0.000	0.006
POLR3E	0.003	0.003	0.000	0.000	-	-	0.0211230089662447	0.016	0.003	0.003	0.009
AQP1	0.006	0.000	0.003	0.003	-	-	0.0176940928270042	0.006	0.000	0.003	0.003
UQCRC1	0.003	0.003	0.000	0.000	-	-	0.0140348892405063	0.009	0.003	0.000	0.006
NDUFA9	0.003	0.000	0.000	0.003	-	-	0.0135464398734177	0.054	0.003	0.000	0.051
CTSH	0.003	0.000	0.000	0.003	-	-	0.00905353375527427	0.006	0.000	0.000	0.006
DLAT	0.003	0.000	0.000	0.003	-	-	0.00683125	0.013	0.003	0.000	0.009
